EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
7,8,9,7,5,5,5,4,5,12,energia; põlevkivitootja; koostöö; rahvus; andma; põlevkivikaevandus; sõprus; nõukogu; töötama; liit
7,8,9,7,5,5,5,4,5,12,energia; põlevkivitootja; koostöö; rahvus; andma; põlevkivikaevandus; sõprus; nõukogu; töötama; liit
7,8,9,7,5,5,5,4,5,12,energia; põlevkivitootja; koostöö; rahvus; andma; põlevkivikaevandus; sõprus; nõukogu; töötama; liit
7,8,9,7,5,5,5,4,5,12,energia; põlevkivitootja; koostöö; rahvus; andma; põlevkivikaevandus; sõprus; nõukogu; töötama; liit
7,8,9,7,5,5,5,4,4,12,energia; põlevkivitootja; koostöö; rahvus; andma; põlevkivikaevandus; sõprus; nõukogu; töötama; liit
7,8,9,7,5,5,5,4,6,12,energia; põlevkivitootja; koostöö; rahvus; andma; põlevkivikaevandus; sõprus; nõukogu; töötama; liit
7,8,9,7,5,5,5,4,6,12,energia; põlevkivitootja; koostöö; rahvus; andma; põlevkivikaevandus; sõprus; nõukogu; töötama; liit
7,8,9,7,5,5,5,4,5,12,energia; põlevkivitootja; koostöö; rahvus; andma; põlevkivikaevandus; sõprus; nõukogu; töötama; liit
7,8,9,7,5,5,5,4,5,12,energia; põlevkivitootja; koostöö; rahvus; andma; põlevkivikaevandus; sõprus; nõukogu; töötama; liit
7,8,9,7,5,5,5,4,4,12,energia; põlevkivitootja; koostöö; rahvus; andma; põlevkivikaevandus; sõprus; nõukogu; töötama; liit
7,8,9,7,5,5,5,4,5,12,energia; põlevkivitootja; koostöö; rahvus; andma; põlevkivikaevandus; sõprus; nõukogu; töötama; liit
