EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
5,4,8,7,3,7,7,5,3,12,trahv; karistus; port; facebook; börs; kristjan; hilinemine; euroopa; majandusliit; miljon; liit
5,4,8,7,3,7,7,5,3,12,trahv; karistus; port; facebook; börs; kristjan; hilinemine; euroopa; majandusliit; miljon; liit
5,4,8,7,3,7,7,5,3,12,trahv; karistus; port; facebook; börs; kristjan; hilinemine; euroopa; majandusliit; miljon; liit
5,4,8,7,3,7,7,5,3,12,trahv; karistus; port; facebook; börs; kristjan; hilinemine; euroopa; majandusliit; miljon; liit
5,4,8,7,3,7,7,5,3,12,trahv; karistus; port; facebook; börs; kristjan; hilinemine; euroopa; majandusliit; miljon; liit
5,4,7,7,3,7,7,5,3,12,trahv; karistus; port; facebook; börs; kristjan; hilinemine; euroopa; majandusliit; miljon; liit
5,4,7,8,3,7,7,6,3,12,trahv; karistus; port; facebook; börs; kristjan; hilinemine; euroopa; majandusliit; miljon; liit
5,4,7,7,3,7,6,7,3,12,trahv; karistus; port; facebook; börs; kristjan; hilinemine; euroopa; majandusliit; miljon; liit
6,4,9,5,3,6,6,9,3,12,trahv; karistus; port; hilinemine; euroopa; majandusliit; miljon; liit; facebook; börs; kristjan
2,5,9,5,3,7,7,7,3,12,trahv; karistus; port; börs; facebook; kristjan; hilinemine; euroopa; majandusliit; miljon; liit
2,7,9,6,3,6,6,8,4,12,trahv; karistus; port; facebook; börs; kristjan; hilinemine; euroopa; majandusliit; miljon; liit
