EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
7,6,3,7,3,3,4,3,2,12,seljakott; sangpomm; madis; trepp; varustus; korrus; tuletõrje; aesma; sport; indrek; jooks
7,6,3,7,3,3,4,3,2,12,seljakott; sangpomm; madis; trepp; varustus; korrus; tuletõrje; aesma; sport; indrek; jooks
7,6,3,7,3,3,4,3,2,12,seljakott; sangpomm; madis; trepp; varustus; korrus; tuletõrje; aesma; sport; indrek; jooks
7,6,3,7,3,3,4,3,2,12,seljakott; sangpomm; madis; trepp; varustus; korrus; tuletõrje; aesma; sport; indrek; jooks
7,6,3,7,3,3,4,3,2,12,seljakott; sangpomm; madis; trepp; varustus; korrus; tuletõrje; aesma; sport; indrek; jooks
8,6,3,7,3,3,3,2,2,12,seljakott; sangpomm; madis; trepp; varustus; korrus; tuletõrje; aesma; sport; indrek; jooks
10,6,4,7,3,3,4,3,2,12,seljakott; trepp; madis; sangpomm; varustus; korrus; tuletõrje; aesma; sport; indrek; jooks
9,6,3,7,4,5,5,4,2,12,seljakott; trepp; madis; sangpomm; varustus; korrus; tuletõrje; aesma; sport; indrek; jooks
7,7,4,5,4,4,6,3,2,12,seljakott; sangpomm; madis; trepp; varustus; tuletõrje; korrus; aesma; sport; indrek; jooks
7,6,4,7,3,3,6,4,2,12,seljakott; sangpomm; madis; varustus; tuletõrje; korrus; jooks; aesma; sport; indrek; trepp
6,6,3,7,3,5,6,5,2,12,seljakott; sangpomm; madis; varustus; korrus; tuletõrje; jooks; aesma; sport; indrek; trepp
