EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
8,10,7,4,6,6,6,8,7,15,iraan; kasekamp; programm; hääl; uus; kana; senjorii; andres; televisioon; kanada; aasta; trump; jäähoki
8,10,7,4,6,6,6,8,7,15,iraan; kasekamp; programm; hääl; uus; kana; senjorii; andres; televisioon; kanada; aasta; trump; jäähoki
8,10,7,4,6,6,6,8,7,15,iraan; kasekamp; programm; hääl; uus; kana; senjorii; andres; televisioon; kanada; aasta; trump; jäähoki
8,10,7,4,6,6,6,8,7,15,iraan; kasekamp; programm; hääl; uus; kana; senjorii; andres; televisioon; kanada; aasta; trump; jäähoki
8,10,7,4,6,6,6,8,7,15,iraan; kasekamp; programm; hääl; uus; kana; senjorii; andres; televisioon; kanada; aasta; trump; jäähoki
8,10,7,4,6,6,6,9,7,15,iraan; kasekamp; programm; hääl; uus; kana; senjorii; andres; televisioon; kanada; aasta; trump; jäähoki
8,10,7,4,6,6,6,10,7,15,iraan; kasekamp; programm; hääl; uus; kana; senjorii; andres; televisioon; kanada; aasta; trump; jäähoki
8,10,8,7,6,6,6,10,7,15,iraan; kasekamp; programm; hääl; uus; kana; senjorii; andres; televisioon; kanada; aasta; trump; jäähoki
7,10,7,5,6,6,6,10,7,15,iraan; kasekamp; programm; hääl; uus; kana; senjorii; andres; televisioon; kanada; aasta; trump; jäähoki
7,10,6,6,6,6,6,10,7,15,iraan; kasekamp; programm; hääl; uus; kana; senjorii; andres; televisioon; kanada; aasta; trump; jäähoki
8,10,6,7,6,6,6,9,7,15,iraan; kasekamp; programm; hääl; uus; kana; senjorii; andres; televisioon; kanada; aasta; trump; jäähoki
