EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
9,5,5,7,3,8,8,7,6,11,olümpia; barcelona; maailmameistrivõistlus; kümnevõistleja; muusika; uunikum; mercury; andres; klassikaraadio; freddie
9,5,5,7,3,8,8,7,6,11,olümpia; barcelona; maailmameistrivõistlus; kümnevõistleja; muusika; uunikum; mercury; andres; klassikaraadio; freddie
9,5,5,7,3,8,8,7,6,11,olümpia; barcelona; maailmameistrivõistlus; kümnevõistleja; muusika; uunikum; mercury; andres; klassikaraadio; freddie
9,5,5,7,3,8,8,7,6,11,olümpia; barcelona; maailmameistrivõistlus; kümnevõistleja; muusika; uunikum; mercury; andres; klassikaraadio; freddie
9,5,5,7,3,8,8,7,6,11,olümpia; barcelona; maailmameistrivõistlus; kümnevõistleja; muusika; uunikum; mercury; andres; klassikaraadio; freddie
9,5,5,7,3,8,8,7,6,11,olümpia; barcelona; maailmameistrivõistlus; kümnevõistleja; muusika; uunikum; mercury; andres; klassikaraadio; freddie
9,5,5,7,3,8,8,7,5,11,olümpia; barcelona; maailmameistrivõistlus; kümnevõistleja; muusika; uunikum; mercury; andres; klassikaraadio; freddie
9,5,5,7,3,8,8,7,5,11,olümpia; barcelona; maailmameistrivõistlus; kümnevõistleja; muusika; uunikum; mercury; andres; klassikaraadio; freddie
9,5,5,7,3,8,8,7,6,11,olümpia; barcelona; maailmameistrivõistlus; kümnevõistleja; muusika; uunikum; mercury; andres; klassikaraadio; freddie
9,5,5,7,3,8,8,7,5,11,olümpia; barcelona; maailmameistrivõistlus; kümnevõistleja; muusika; uunikum; mercury; andres; klassikaraadio; freddie
9,5,5,7,3,8,8,7,5,11,olümpia; barcelona; maailmameistrivõistlus; kümnevõistleja; muusika; uunikum; mercury; andres; klassikaraadio; freddie
