EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
6,9,9,7,5,9,7,8,8,15,jüri; luterlik; hommikupalvus; patt; rahu; ori; jumal; kangekaelsus; eesti; kirik; kannatlikkus; evangeelium; sõna
6,9,9,7,5,9,7,8,8,15,jüri; luterlik; hommikupalvus; patt; rahu; ori; jumal; kangekaelsus; eesti; kirik; kannatlikkus; evangeelium; sõna
6,9,9,7,5,9,7,8,8,15,jüri; luterlik; hommikupalvus; patt; rahu; ori; jumal; kangekaelsus; eesti; kirik; kannatlikkus; evangeelium; sõna
6,9,9,7,5,9,7,8,8,15,jüri; luterlik; hommikupalvus; patt; rahu; ori; jumal; kangekaelsus; eesti; kirik; kannatlikkus; evangeelium; sõna
6,9,9,7,5,9,7,8,8,15,jüri; luterlik; hommikupalvus; patt; rahu; ori; jumal; kangekaelsus; eesti; kirik; kannatlikkus; evangeelium; sõna
6,9,9,7,5,9,7,8,8,15,jüri; luterlik; hommikupalvus; patt; rahu; ori; jumal; kangekaelsus; eesti; kirik; kannatlikkus; evangeelium; sõna
6,9,9,7,5,9,7,8,8,15,jüri; luterlik; hommikupalvus; patt; rahu; ori; jumal; kangekaelsus; eesti; kirik; kannatlikkus; evangeelium; sõna
6,9,9,7,5,9,7,8,8,15,jüri; luterlik; hommikupalvus; patt; rahu; ori; jumal; kangekaelsus; eesti; kirik; kannatlikkus; evangeelium; sõna
6,9,9,7,5,9,7,8,8,15,jüri; luterlik; hommikupalvus; patt; rahu; ori; jumal; kangekaelsus; eesti; kirik; kannatlikkus; evangeelium; sõna
6,9,9,7,5,9,7,8,8,15,jüri; luterlik; hommikupalvus; patt; rahu; ori; jumal; kangekaelsus; eesti; kirik; kannatlikkus; evangeelium; sõna
6,9,9,7,5,9,7,8,8,15,jüri; luterlik; hommikupalvus; patt; rahu; ori; jumal; kangekaelsus; eesti; kirik; kannatlikkus; evangeelium; sõna
