EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
1,6,4,2,7,3,3,4,6,11,nurk; washington; alandlikkus; väärtus; ohtlik; seadus; heino; autoriteet
1,6,4,2,7,3,3,4,6,11,nurk; washington; alandlikkus; väärtus; ohtlik; seadus; heino; autoriteet
1,6,4,2,7,3,3,4,7,11,nurk; washington; alandlikkus; väärtus; ohtlik; seadus; heino; autoriteet
1,6,4,2,7,3,3,4,7,11,nurk; washington; alandlikkus; väärtus; ohtlik; seadus; heino; autoriteet
1,6,4,2,7,3,3,4,7,11,nurk; washington; alandlikkus; väärtus; ohtlik; seadus; heino; autoriteet
1,6,4,2,7,3,3,4,7,11,nurk; washington; alandlikkus; väärtus; ohtlik; seadus; heino; autoriteet
1,6,4,2,7,3,3,4,7,11,nurk; washington; alandlikkus; väärtus; ohtlik; seadus; heino; autoriteet
1,6,4,2,7,3,3,4,7,11,nurk; washington; alandlikkus; väärtus; ohtlik; seadus; heino; autoriteet
1,6,4,2,7,3,3,4,6,11,nurk; washington; alandlikkus; väärtus; ohtlik; seadus; heino; autoriteet
1,6,4,2,7,3,3,4,6,11,nurk; washington; alandlikkus; väärtus; ohtlik; seadus; heino; autoriteet
1,6,4,2,7,3,3,4,7,11,nurk; washington; alandlikkus; väärtus; ohtlik; seadus; heino; autoriteet
