EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
2,6,4,7,6,4,4,3,6,11,raudtee; etendus; sugulane; nutune; reino; jaan; kruusvall; vastik; lahkumisavaldus; unimüts
2,6,4,7,6,5,4,3,6,11,raudtee; etendus; sugulane; nutune; reino; jaan; kruusvall; vastik; lahkumisavaldus; unimüts
2,6,4,7,6,5,4,3,6,11,raudtee; etendus; sugulane; nutune; reino; jaan; kruusvall; vastik; lahkumisavaldus; unimüts
2,6,4,7,6,5,4,3,6,11,raudtee; etendus; sugulane; nutune; reino; jaan; kruusvall; vastik; lahkumisavaldus; unimüts
2,6,4,7,6,5,4,3,6,11,raudtee; etendus; sugulane; nutune; reino; jaan; kruusvall; vastik; lahkumisavaldus; unimüts
2,6,4,7,6,5,4,3,6,11,raudtee; etendus; sugulane; nutune; reino; jaan; kruusvall; vastik; lahkumisavaldus; unimüts
2,6,4,7,6,5,4,3,6,11,raudtee; etendus; sugulane; nutune; reino; jaan; kruusvall; vastik; lahkumisavaldus; unimüts
2,6,4,7,6,5,4,3,6,11,raudtee; etendus; sugulane; nutune; reino; jaan; kruusvall; vastik; lahkumisavaldus; unimüts
2,6,4,7,6,5,4,3,6,11,raudtee; etendus; sugulane; nutune; reino; jaan; kruusvall; vastik; lahkumisavaldus; unimüts
2,6,4,7,6,5,4,3,6,11,raudtee; etendus; sugulane; nutune; reino; jaan; kruusvall; vastik; lahkumisavaldus; unimüts
2,6,4,7,6,5,4,3,6,11,raudtee; etendus; sugulane; nutune; reino; jaan; kruusvall; vastik; lahkumisavaldus; unimüts
