EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
7,9,2,7,7,5,4,8,4,13,ema; leib; tomusk; ilmar; sool; märt; isik; martin; kõrvaline; isa; pius
7,9,2,7,7,5,4,8,4,13,ema; leib; tomusk; ilmar; sool; märt; isik; martin; kõrvaline; isa; pius
7,9,2,7,7,5,4,8,4,13,ema; leib; tomusk; ilmar; sool; märt; isik; martin; kõrvaline; isa; pius
7,9,2,7,7,5,4,8,4,13,ema; leib; tomusk; ilmar; sool; märt; isik; martin; kõrvaline; isa; pius
7,9,2,7,7,5,4,8,4,13,ema; leib; tomusk; ilmar; sool; märt; isik; martin; kõrvaline; isa; pius
7,9,3,7,7,5,3,8,4,13,ema; leib; tomusk; ilmar; sool; märt; isik; martin; kõrvaline; isa; pius
7,9,3,7,7,7,3,7,4,13,ema; leib; tomusk; ilmar; sool; märt; isik; martin; kõrvaline; isa; pius
6,9,3,8,7,6,4,8,4,13,ema; leib; tomusk; ilmar; sool; märt; isik; martin; kõrvaline; isa; pius
9,9,3,7,6,7,4,8,4,13,ema; leib; tomusk; ilmar; sool; märt; isik; martin; kõrvaline; isa; pius
7,9,5,7,7,7,4,9,4,13,ema; leib; tomusk; ilmar; sool; märt; isik; martin; kõrvaline; isa; pius
8,8,5,6,8,8,4,8,4,13,ema; leib; tomusk; ilmar; sool; märt; isik; martin; kõrvaline; isa; pius
