EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
6,5,3,4,5,5,6,6,5,12,uukkivi; kinni; tuisk; hoidma; isa; torm; rabandus; raamat; poeg; käsi; ivo
6,5,3,4,5,5,6,6,4,12,uukkivi; kinni; tuisk; hoidma; isa; torm; rabandus; raamat; poeg; käsi; ivo
6,5,3,4,5,5,6,6,5,12,uukkivi; kinni; tuisk; hoidma; isa; torm; rabandus; raamat; poeg; käsi; ivo
6,5,3,4,5,5,6,6,5,12,uukkivi; kinni; tuisk; hoidma; isa; torm; rabandus; raamat; poeg; käsi; ivo
6,5,3,4,5,5,6,6,5,12,uukkivi; kinni; tuisk; hoidma; isa; torm; rabandus; raamat; poeg; käsi; ivo
6,5,4,4,5,6,5,7,5,12,uukkivi; kinni; tuisk; hoidma; isa; torm; rabandus; raamat; poeg; käsi; ivo
6,5,4,2,5,5,6,7,5,12,uukkivi; kinni; tuisk; hoidma; isa; torm; rabandus; raamat; poeg; käsi; ivo
4,5,4,4,5,6,6,7,5,12,uukkivi; kinni; tuisk; hoidma; isa; torm; rabandus; raamat; poeg; käsi; ivo
6,5,4,5,4,6,7,8,5,12,uukkivi; kinni; tuisk; hoidma; isa; torm; rabandus; raamat; poeg; käsi; ivo
6,5,4,4,4,6,7,7,5,12,uukkivi; kinni; tuisk; hoidma; isa; torm; rabandus; raamat; poeg; käsi; ivo
5,4,4,6,5,7,7,5,5,12,uukkivi; kinni; tuisk; hoidma; isa; torm; rabandus; raamat; poeg; käsi; ivo
