EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
2,3,0,2,3,1,0,4,3,11,facebook; trahv; suhkrutrahv; karistus; aktsia; andmete
2,3,0,2,3,1,0,4,3,11,facebook; trahv; suhkrutrahv; karistus; aktsia; andmete
2,3,0,2,3,1,0,4,3,11,facebook; trahv; suhkrutrahv; karistus; aktsia; andmete
2,3,0,2,3,1,0,4,3,11,facebook; trahv; suhkrutrahv; karistus; aktsia; andmete
2,3,1,2,3,1,0,4,3,11,facebook; trahv; suhkrutrahv; karistus; aktsia; andmete
2,3,2,2,3,1,0,4,3,11,facebook; trahv; suhkrutrahv; karistus; aktsia; andmete
4,4,2,2,2,1,0,4,3,11,facebook; trahv; suhkrutrahv; karistus; aktsia; andmete
2,4,2,2,3,1,0,4,3,11,facebook; trahv; suhkrutrahv; karistus; aktsia; andmete
2,3,2,0,5,1,0,4,3,11,facebook; trahv; suhkrutrahv; karistus; aktsia; andmete
2,3,1,0,4,1,0,2,3,11,facebook; trahv; suhkrutrahv; karistus; aktsia; andmete
3,2,2,0,3,1,0,2,3,11,facebook; trahv; suhkrutrahv; karistus; aktsia; andmete
