EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
5,4,2,5,4,4,5,5,4,13,ema; johan; torm; kon-tiki; isa; ütlemata
5,4,2,5,4,4,5,5,4,13,ema; johan; torm; kon-tiki; isa; ütlemata
5,4,2,5,4,4,5,5,4,13,ema; johan; torm; kon-tiki; isa; ütlemata
5,4,2,5,4,4,5,5,4,13,ema; johan; torm; kon-tiki; isa; ütlemata
5,4,2,5,4,4,5,5,4,13,ema; johan; torm; kon-tiki; isa; ütlemata
5,4,2,5,4,4,5,5,4,13,ema; johan; torm; kon-tiki; isa; ütlemata
6,4,2,5,4,4,5,5,4,13,ema; johan; torm; kon-tiki; isa; ütlemata
6,4,2,4,4,4,4,5,4,13,ema; johan; torm; kon-tiki; isa; ütlemata
6,3,2,5,5,5,5,5,4,13,ema; johan; torm; kon-tiki; isa; ütlemata
5,4,2,4,5,5,5,5,4,13,ema; johan; torm; kon-tiki; isa; ütlemata
4,5,2,4,5,5,5,5,3,13,ema; johan; torm; kon-tiki; isa; ütlemata
