EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
4,3,6,4,4,6,4,4,3,12,tegutsemisaeg; jõulud; jaanuar; aasta; intensiivne; rahuaeg
4,3,6,4,4,6,4,4,3,12,tegutsemisaeg; jõulud; jaanuar; aasta; intensiivne; rahuaeg
4,3,6,4,4,6,4,4,3,12,tegutsemisaeg; jõulud; jaanuar; aasta; intensiivne; rahuaeg
4,3,6,4,4,6,4,4,3,12,tegutsemisaeg; jõulud; jaanuar; aasta; intensiivne; rahuaeg
4,3,6,4,4,6,4,4,3,12,tegutsemisaeg; jõulud; jaanuar; aasta; intensiivne; rahuaeg
4,3,6,4,4,6,4,4,3,12,tegutsemisaeg; jõulud; jaanuar; aasta; intensiivne; rahuaeg
4,3,6,4,4,6,4,4,3,12,tegutsemisaeg; jõulud; jaanuar; aasta; intensiivne; rahuaeg
5,3,6,4,4,6,4,4,3,12,tegutsemisaeg; jõulud; jaanuar; aasta; intensiivne; rahuaeg
5,3,6,4,4,6,4,4,3,12,tegutsemisaeg; jõulud; jaanuar; aasta; intensiivne; rahuaeg
5,5,5,3,3,6,6,4,3,12,tegutsemisaeg; jõulud; jaanuar; aasta; intensiivne; rahuaeg
5,3,5,1,3,6,6,4,3,12,tegutsemisaeg; jõulud; jaanuar; aasta; intensiivne; rahuaeg
