EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
8,7,8,7,1,5,8,11,0,20,konstantinoopoli; neitsi; johannes; basiilika; sostumus; efesose; gregorius; patriarh; kristuse; kolmas; jumala; peetruse
8,7,8,7,1,5,8,11,0,20,konstantinoopoli; neitsi; johannes; basiilika; sostumus; efesose; gregorius; patriarh; kristuse; kolmas; jumala; peetruse
8,7,8,7,1,5,8,11,0,20,konstantinoopoli; neitsi; johannes; basiilika; sostumus; efesose; gregorius; patriarh; kristuse; kolmas; jumala; peetruse
8,7,8,7,1,5,8,11,0,20,konstantinoopoli; neitsi; johannes; basiilika; sostumus; efesose; gregorius; patriarh; kristuse; kolmas; jumala; peetruse
8,7,8,7,1,5,8,11,0,20,konstantinoopoli; neitsi; johannes; basiilika; sostumus; efesose; gregorius; patriarh; kristuse; kolmas; jumala; peetruse
8,7,8,7,1,5,8,11,0,20,konstantinoopoli; neitsi; johannes; basiilika; sostumus; efesose; gregorius; patriarh; kristuse; kolmas; jumala; peetruse
8,7,8,7,1,5,8,11,0,20,konstantinoopoli; neitsi; johannes; basiilika; sostumus; efesose; gregorius; patriarh; kristuse; kolmas; jumala; peetruse
7,7,8,8,1,5,10,11,0,20,konstantinoopoli; neitsi; johannes; basiilika; sostumus; efesose; gregorius; patriarh; kristuse; jumala; kolmas; peetruse
6,7,9,6,1,5,10,11,0,20,konstantinoopoli; neitsi; johannes; basiilika; sostumus; efesose; gregorius; patriarh; kristuse; jumala; kolmas; peetruse
8,6,8,9,3,7,10,11,0,20,konstantinoopoli; neitsi; johannes; basiilika; sostumus; efesose; gregorius; patriarh; kristuse; jumala; kolmas; peetruse
9,8,8,8,3,8,10,10,0,20,konstantinoopoli; neitsi; johannes; basiilika; sostumus; efesose; gregorius; patriarh; kristuse; jumala; kolmas; peetruse
