EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
4,3,3,3,1,2,4,5,0,12,meedia; kerge; keele; ühisosa; lingvistika; haridus; keelekorraldus; krista; arengukava
4,3,3,3,1,2,4,5,0,12,meedia; kerge; keele; ühisosa; lingvistika; haridus; keelekorraldus; krista; arengukava
4,3,3,3,1,2,4,5,0,12,meedia; kerge; keele; ühisosa; lingvistika; haridus; keelekorraldus; krista; arengukava
4,3,4,3,1,2,4,5,0,12,meedia; kerge; keele; ühisosa; lingvistika; haridus; keelekorraldus; krista; arengukava
4,3,5,3,1,2,4,5,0,12,meedia; kerge; keele; ühisosa; lingvistika; haridus; keelekorraldus; krista; arengukava
3,3,5,3,1,2,4,5,0,12,meedia; kerge; keele; ühisosa; lingvistika; haridus; keelekorraldus; krista; arengukava
6,3,5,3,2,3,5,5,0,12,meedia; kerge; keele; ühisosa; lingvistika; haridus; keelekorraldus; krista; arengukava
1,2,6,4,2,5,4,5,0,12,meedia; kerge; keele; ühisosa; lingvistika; haridus; keelekorraldus; krista; arengukava
4,3,3,5,2,3,4,5,0,12,kerge; arengukava; keele; ühisosa; ilukirjandus; lingvistika; haridus; krista; meedia
6,4,4,6,3,4,5,5,0,12,kerge; arengukava; keele; ühisosa; ilukirjandus; lingvistika; haridus; krista; meedia
6,5,2,5,3,3,5,5,0,12,kerge; arengukava; keele; ühisosa; ilukirjandus; lingvistika; haridus; krista; meedia
