EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
4,5,4,5,0,6,4,2,0,12,kunstid; klassik; kirjutama; iroonia; imelaps; mati; unt; kirjandus; kaunid; kommunism
4,5,4,5,0,6,4,2,0,12,kunstid; klassik; kirjutama; iroonia; imelaps; mati; unt; kirjandus; kaunid; kommunism
4,5,4,5,0,6,4,2,0,12,kunstid; klassik; kirjutama; iroonia; imelaps; mati; unt; kirjandus; kaunid; kommunism
4,5,4,5,0,6,4,2,0,12,kunstid; klassik; kirjutama; iroonia; imelaps; mati; unt; kirjandus; kaunid; kommunism
4,5,3,5,0,6,4,2,0,12,kunstid; klassik; kirjutama; iroonia; imelaps; mati; unt; kirjandus; kaunid; kommunism
5,5,6,5,0,6,5,2,0,12,kunstid; klassik; kirjutama; iroonia; imelaps; mati; unt; kirjandus; kaunid; kommunism
5,5,6,6,0,7,6,2,0,12,kunstid; klassik; kirjutama; iroonia; imelaps; mati; unt; kirjandus; kaunid; kommunism
3,6,5,4,0,7,5,2,0,12,kunstid; kirjutama; klassik; iroonia; imelaps; mati; unt; kirjandus; kaunid; kommunism
3,6,7,4,1,7,3,2,0,12,kunstid; kirjutama; klassik; iroonia; imelaps; mati; unt; kirjandus; kaunid; kommunism
2,5,5,3,1,7,5,2,0,12,kunstid; kirjutama; klassik; iroonia; imelaps; mati; unt; kirjandus; kaunid; kommunism
3,5,5,4,2,6,3,1,0,12,kunstid; kirjutama; klassik; iroonia; imelaps; mati; unt; kirjandus; kaunid; kommunism
