EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
5,3,2,4,1,2,2,4,4,11,raudtee; tädi; näitleja; jaan; talent
5,3,2,4,1,2,2,4,4,11,raudtee; tädi; näitleja; jaan; talent
5,3,2,4,1,2,2,4,4,11,raudtee; tädi; näitleja; jaan; talent
5,3,2,4,1,2,2,4,4,11,raudtee; tädi; näitleja; jaan; talent
5,3,2,4,1,2,2,4,4,11,raudtee; tädi; näitleja; jaan; talent
5,3,2,4,1,2,2,4,4,11,raudtee; tädi; näitleja; jaan; talent
5,3,2,4,1,2,2,4,4,11,raudtee; tädi; näitleja; jaan; talent
5,3,2,4,1,2,2,4,4,11,raudtee; tädi; näitleja; jaan; talent
5,3,2,4,1,2,2,4,4,11,raudtee; tädi; näitleja; jaan; talent
5,3,2,4,1,2,2,4,4,11,raudtee; tädi; näitleja; jaan; talent
5,3,2,4,1,2,2,4,4,11,raudtee; tädi; näitleja; jaan; talent
