EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
4,6,3,7,5,3,4,5,0,13,senjoriita; kanada; aasta; popiidol; üksinda; trump; kodus; jäähoki
4,6,3,7,5,3,4,5,0,13,senjoriita; kanada; aasta; popiidol; üksinda; trump; kodus; jäähoki
4,6,3,7,5,3,4,5,0,13,senjoriita; kanada; aasta; popiidol; üksinda; trump; kodus; jäähoki
4,6,3,7,5,3,4,5,0,13,senjoriita; kanada; aasta; popiidol; üksinda; trump; kodus; jäähoki
4,6,3,7,5,3,4,5,0,13,senjoriita; kanada; aasta; popiidol; üksinda; trump; kodus; jäähoki
4,6,3,7,5,3,4,5,0,13,senjoriita; kanada; aasta; popiidol; üksinda; trump; kodus; jäähoki
4,6,3,7,5,3,4,5,0,13,senjoriita; kanada; aasta; popiidol; üksinda; trump; kodus; jäähoki
3,6,3,6,5,3,4,5,0,13,senjoriita; kanada; aasta; popiidol; üksinda; trump; kodus; jäähoki
5,6,3,5,5,3,5,5,0,13,senjoriita; kanada; aasta; popiidol; üksinda; trump; kodus; jäähoki
5,8,4,6,6,4,5,5,0,13,senjoriita; kanada; aasta; popiidol; üksinda; trump; kodus; jäähoki
5,8,4,6,6,4,5,5,0,13,senjoriita; kanada; aasta; popiidol; üksinda; trump; kodus; jäähoki
