EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
1,1,3,1,1,3,3,3,2,12,saal; peaminister; tulemus; akadeemia
1,1,3,1,1,3,3,3,2,12,saal; peaminister; tulemus; akadeemia
1,1,3,1,1,3,3,3,2,12,saal; peaminister; tulemus; akadeemia
1,1,3,1,1,3,3,3,2,12,saal; peaminister; tulemus; akadeemia
1,1,3,1,1,3,3,3,2,12,saal; peaminister; tulemus; akadeemia
1,1,3,1,1,3,3,3,2,12,saal; peaminister; tulemus; akadeemia
1,1,3,1,1,3,3,3,2,12,saal; peaminister; tulemus; akadeemia
1,1,3,1,1,3,3,3,2,12,saal; peaminister; tulemus; akadeemia
1,1,3,1,1,3,3,3,2,12,saal; peaminister; tulemus; akadeemia
1,1,3,1,1,3,3,3,2,12,saal; peaminister; tulemus; akadeemia
1,1,3,2,1,3,3,3,2,12,saal; peaminister; tulemus; akadeemia
