EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
3,2,3,1,3,3,4,0,0,10,toimetus; direktor; saade; režissöör; koosolek; stuudio; televisioon
3,2,3,1,3,3,4,0,0,10,toimetus; direktor; saade; režissöör; koosolek; stuudio; televisioon
3,2,3,1,3,3,4,0,0,10,toimetus; direktor; saade; režissöör; koosolek; stuudio; televisioon
3,2,3,1,3,3,4,0,0,10,toimetus; direktor; saade; režissöör; koosolek; stuudio; televisioon
3,2,7,1,3,3,4,0,0,10,toimetus; direktor; saade; režissöör; koosolek; stuudio; televisioon
3,2,5,1,3,3,4,0,0,10,toimetus; direktor; saade; režissöör; koosolek; stuudio; televisioon
4,1,3,2,3,4,5,0,0,10,toimetus; direktor; saade; režissöör; koosolek; stuudio; televisioon
4,3,2,1,3,5,5,0,0,10,toimetus; direktor; saade; režissöör; koosolek; stuudio; televisioon
3,2,3,2,1,4,4,0,0,10,toimetus; direktor; saade; režissöör; koosolek; stuudio; televisioon
2,0,4,1,2,4,5,0,0,10,toimetus; direktor; saade; režissöör; koosolek; stuudio; televisioon
2,0,4,2,3,4,5,0,0,10,toimetus; direktor; saade; režissöör; koosolek; stuudio; televisioon
