EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
4,5,3,3,1,2,7,5,0,13,merike; käär; heinsoo; hiiu; lasteraamat; lugema; lili
4,5,3,3,1,2,7,5,0,13,merike; käär; heinsoo; hiiu; lasteraamat; lugema; lili
4,5,3,3,1,2,7,5,0,13,merike; käär; heinsoo; hiiu; lasteraamat; lugema; lili
4,5,3,3,1,2,7,5,0,13,merike; käär; heinsoo; hiiu; lasteraamat; lugema; lili
4,5,3,3,1,2,7,5,0,13,merike; käär; heinsoo; hiiu; lasteraamat; lugema; lili
3,5,3,3,1,2,7,5,0,13,merike; käär; heinsoo; hiiu; lasteraamat; lugema; lili
0,2,3,3,1,2,7,5,0,13,merike; käär; heinsoo; hiiu; lasteraamat; lugema; lili
6,2,3,3,1,3,7,5,0,13,merike; käär; heinsoo; hiiu; lasteraamat; lugema; lili
4,5,3,2,1,4,7,5,0,13,merike; käär; heinsoo; hiiu; lasteraamat; lugema; lili
2,3,3,2,0,4,6,5,0,13,merike; käär; heinsoo; hiiu; lasteraamat; lugema; lili
2,2,3,4,1,4,6,5,0,13,merike; käär; heinsoo; hiiu; lasteraamat; lugema; lili
