EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
12,11,8,9,3,11,11,8,0,16,vahur; tiisler; tunnustus; tarmo; jürgens; kersna; tõnu; piret; peeter; lasmann; kriivan; tähelepanu; toomas; naissoo
12,11,8,9,3,11,11,8,0,16,vahur; tiisler; tunnustus; tarmo; jürgens; kersna; tõnu; piret; peeter; lasmann; kriivan; tähelepanu; toomas; naissoo
12,11,8,9,3,11,11,8,0,16,vahur; tiisler; tunnustus; tarmo; jürgens; kersna; tõnu; piret; peeter; lasmann; kriivan; tähelepanu; toomas; naissoo
12,11,8,9,3,11,11,8,0,16,vahur; tiisler; tunnustus; tarmo; jürgens; kersna; tõnu; piret; peeter; lasmann; kriivan; tähelepanu; toomas; naissoo
12,11,8,9,3,11,11,8,0,16,vahur; tiisler; tunnustus; tarmo; jürgens; kersna; tõnu; piret; peeter; lasmann; kriivan; tähelepanu; toomas; naissoo
12,11,8,9,3,11,11,8,0,16,vahur; tiisler; tunnustus; tarmo; jürgens; kersna; tõnu; piret; peeter; lasmann; kriivan; tähelepanu; toomas; naissoo
12,11,8,9,3,11,11,8,0,16,vahur; tiisler; tunnustus; tarmo; jürgens; kersna; tõnu; piret; peeter; lasmann; kriivan; tähelepanu; toomas; naissoo
12,11,8,9,3,11,11,8,0,16,vahur; tiisler; tunnustus; tarmo; jürgens; kersna; tõnu; piret; peeter; lasmann; kriivan; tähelepanu; toomas; naissoo
12,11,8,9,3,11,11,8,0,16,vahur; tiisler; tunnustus; tarmo; jürgens; kersna; tõnu; piret; peeter; lasmann; kriivan; tähelepanu; toomas; naissoo
12,11,8,9,3,11,11,8,0,16,vahur; tiisler; tunnustus; tarmo; jürgens; kersna; tõnu; piret; peeter; lasmann; kriivan; tähelepanu; toomas; naissoo
12,11,8,9,3,11,11,8,0,16,vahur; tiisler; tunnustus; tarmo; jürgens; kersna; tõnu; piret; peeter; lasmann; kriivan; tähelepanu; toomas; naissoo
