EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
2,5,4,6,5,4,6,3,0,12,martin; vangla; nurk; raamat; kirjade; sidepidamine; ämber; võitlus
2,5,4,6,5,4,6,3,0,12,martin; vangla; nurk; raamat; kirjade; sidepidamine; ämber; võitlus
2,5,4,6,5,4,6,3,0,12,martin; vangla; nurk; raamat; kirjade; sidepidamine; ämber; võitlus
2,5,4,6,5,4,6,3,0,12,martin; vangla; nurk; raamat; kirjade; sidepidamine; ämber; võitlus
2,5,4,6,5,4,6,3,0,12,martin; vangla; nurk; raamat; kirjade; sidepidamine; ämber; võitlus
2,5,4,6,5,4,6,3,0,12,martin; vangla; nurk; raamat; kirjade; sidepidamine; ämber; võitlus
2,5,4,6,5,4,6,3,0,12,martin; vangla; nurk; raamat; kirjade; sidepidamine; ämber; võitlus
2,5,4,6,5,4,6,3,0,12,martin; vangla; nurk; raamat; kirjade; sidepidamine; ämber; võitlus
2,5,4,6,5,4,6,3,0,12,martin; vangla; nurk; raamat; kirjade; sidepidamine; ämber; võitlus
2,5,4,6,5,4,6,3,0,12,martin; vangla; nurk; raamat; kirjade; sidepidamine; ämber; võitlus
2,5,4,6,5,4,6,3,0,12,martin; vangla; nurk; raamat; kirjade; sidepidamine; ämber; võitlus
