EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
6,6,2,4,0,3,4,4,0,12,teatritrupp; vilimaa; kultuuripäevad; ülo; vanemuise; tšehhoslovakkia
6,6,2,4,0,3,4,4,0,12,teatritrupp; vilimaa; kultuuripäevad; ülo; vanemuise; tšehhoslovakkia
6,6,2,4,0,3,4,4,0,12,teatritrupp; vilimaa; kultuuripäevad; ülo; vanemuise; tšehhoslovakkia
6,6,2,4,0,3,4,4,0,12,teatritrupp; vilimaa; kultuuripäevad; ülo; vanemuise; tšehhoslovakkia
6,6,2,4,0,3,4,4,0,12,teatritrupp; vilimaa; kultuuripäevad; ülo; vanemuise; tšehhoslovakkia
6,6,2,4,0,3,4,4,0,12,teatritrupp; vilimaa; kultuuripäevad; ülo; vanemuise; tšehhoslovakkia
6,6,2,4,0,3,4,4,0,12,teatritrupp; vilimaa; kultuuripäevad; ülo; vanemuise; tšehhoslovakkia
5,6,2,4,0,3,4,4,0,12,teatritrupp; vilimaa; kultuuripäevad; ülo; vanemuise; tšehhoslovakkia
4,6,3,4,0,5,6,4,0,12,teatritrupp; vilimaa; kultuuripäevad; ülo; vanemuise; tšehhoslovakkia
4,6,3,4,0,5,6,4,0,12,teatritrupp; vilimaa; kultuuripäevad; ülo; vanemuise; tšehhoslovakkia
4,6,3,4,0,5,6,3,0,12,teatritrupp; vilimaa; kultuuripäevad; ülo; vanemuise; tšehhoslovakkia
