EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
5,4,5,3,4,6,7,5,3,10,töö; vabadus; varandus; õigus; iseseisvus; kolhoos; talu
5,4,5,3,4,6,7,5,3,10,töö; vabadus; varandus; õigus; iseseisvus; kolhoos; talu
5,4,5,3,4,6,7,5,3,10,töö; vabadus; varandus; õigus; iseseisvus; kolhoos; talu
5,4,5,3,4,6,7,5,3,10,töö; vabadus; varandus; õigus; iseseisvus; kolhoos; talu
5,4,5,3,4,6,7,5,3,10,töö; vabadus; varandus; õigus; iseseisvus; kolhoos; talu
5,4,5,3,4,6,7,5,3,10,töö; vabadus; varandus; õigus; iseseisvus; kolhoos; talu
5,4,5,3,4,6,7,5,3,10,töö; vabadus; varandus; õigus; iseseisvus; kolhoos; talu
5,4,5,3,4,6,7,5,3,10,töö; vabadus; varandus; õigus; iseseisvus; kolhoos; talu
5,4,5,3,4,6,7,6,3,10,töö; vabadus; varandus; õigus; iseseisvus; kolhoos; talu
5,4,5,3,4,6,7,6,3,10,töö; vabadus; varandus; õigus; iseseisvus; kolhoos; talu
5,3,5,3,5,6,7,6,3,10,töö; vabadus; varandus; õigus; iseseisvus; kolhoos; talu
