EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
4,5,2,4,2,5,4,5,4,10,vanaisa; hämarik; faehlmann; valgusandja; koit
4,5,2,4,2,5,4,5,4,10,vanaisa; hämarik; faehlmann; valgusandja; koit
4,5,2,4,2,5,4,5,4,10,vanaisa; hämarik; faehlmann; valgusandja; koit
4,5,2,4,2,5,4,5,4,10,vanaisa; hämarik; faehlmann; valgusandja; koit
4,5,2,4,2,5,4,5,4,10,vanaisa; hämarik; faehlmann; valgusandja; koit
4,5,2,4,2,5,4,5,4,10,vanaisa; hämarik; faehlmann; valgusandja; koit
3,5,2,5,2,5,4,5,4,10,vanaisa; hämarik; faehlmann; valgusandja; koit
4,5,2,5,2,5,4,5,4,10,vanaisa; hämarik; faehlmann; valgusandja; koit
5,5,2,3,2,4,5,5,4,10,vanaisa; hämarik; faehlmann; valgusandja; koit
5,4,3,3,2,5,5,5,4,10,vanaisa; hämarik; faehlmann; valgusandja; koit
4,4,3,4,1,5,4,5,4,10,vanaisa; hämarik; faehlmann; valgusandja; koit
