EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
4,9,6,4,3,4,8,9,0,18,kommentaar; port; thomas; tehnoloogia; papadopolous; serveri; arvuti; maailma; watson; kristjan; google; võrgustik
4,9,6,4,3,4,8,9,0,18,kommentaar; port; thomas; tehnoloogia; papadopolous; serveri; arvuti; maailma; watson; kristjan; google; võrgustik
4,9,6,4,3,4,8,9,0,18,kommentaar; port; thomas; tehnoloogia; papadopolous; serveri; arvuti; maailma; watson; kristjan; google; võrgustik
4,9,6,4,3,4,8,9,0,18,kommentaar; port; thomas; tehnoloogia; papadopolous; serveri; arvuti; maailma; watson; kristjan; google; võrgustik
4,9,6,4,3,4,8,9,0,18,kommentaar; port; thomas; tehnoloogia; papadopolous; serveri; arvuti; maailma; watson; kristjan; google; võrgustik
4,9,5,4,3,4,8,9,0,18,kommentaar; port; thomas; tehnoloogia; papadopolous; serveri; arvuti; maailma; watson; kristjan; google; võrgustik
8,9,6,4,3,4,6,9,0,18,võrgustik; kommentaar; port; thomas; papadopolous; serveri; arvuti; maailma; watson; kristjan; google; tehnoloogia
5,8,5,7,3,4,8,9,0,18,võrgustik; kommentaar; port; thomas; papadopolous; serveri; arvuti; maailma; watson; kristjan; google; tehnoloogia
6,8,4,6,5,4,9,9,0,18,võrgustik; kommentaar; port; thomas; papadopolous; serveri; arvuti; maailma; watson; kristjan; google; tehnoloogia
7,8,4,8,6,5,9,9,0,18,võrgustik; kommentaar; port; thomas; papadopolous; serveri; arvuti; maailma; watson; kristjan; google; tehnoloogia
8,9,7,8,6,4,9,9,0,18,võrgustik; kommentaar; port; thomas; papadopolous; serveri; arvuti; maailma; watson; kristjan; google; tehnoloogia
