EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
5,3,4,4,5,3,4,5,2,12,klaas; braseodüüm; neodüüm; mendelejevi; muldmetall; lantanoid
5,3,4,4,5,3,4,5,2,12,klaas; braseodüüm; neodüüm; mendelejevi; muldmetall; lantanoid
5,3,4,4,5,3,4,5,2,12,klaas; braseodüüm; neodüüm; mendelejevi; muldmetall; lantanoid
5,3,4,4,5,3,4,5,2,12,klaas; braseodüüm; neodüüm; mendelejevi; muldmetall; lantanoid
5,3,4,4,5,3,4,5,2,12,klaas; braseodüüm; neodüüm; mendelejevi; muldmetall; lantanoid
5,3,4,4,5,3,4,5,2,12,klaas; braseodüüm; neodüüm; mendelejevi; muldmetall; lantanoid
5,3,4,4,5,3,4,5,2,12,klaas; braseodüüm; neodüüm; mendelejevi; muldmetall; lantanoid
5,3,4,4,5,3,4,5,2,12,klaas; braseodüüm; neodüüm; mendelejevi; muldmetall; lantanoid
5,3,4,4,5,3,4,5,2,12,klaas; braseodüüm; neodüüm; mendelejevi; muldmetall; lantanoid
5,3,4,4,5,3,4,5,2,12,klaas; braseodüüm; neodüüm; mendelejevi; muldmetall; lantanoid
5,3,4,4,5,3,4,5,2,12,klaas; braseodüüm; neodüüm; mendelejevi; muldmetall; lantanoid
