EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
3,1,2,4,2,4,4,0,0,11,naisoboemängija; klassikatähed; inglissarv; ingeli; oboe
3,1,2,4,2,4,4,1,0,11,naisoboemängija; klassikatähed; inglissarv; ingeli; oboe
3,1,2,4,2,4,4,1,0,11,naisoboemängija; klassikatähed; inglissarv; ingeli; oboe
3,1,2,4,2,4,4,1,0,11,naisoboemängija; klassikatähed; inglissarv; ingeli; oboe
3,1,2,4,2,4,4,1,0,11,naisoboemängija; klassikatähed; inglissarv; ingeli; oboe
3,2,2,4,2,4,4,1,0,11,naisoboemängija; klassikatähed; inglissarv; ingeli; oboe
3,1,4,3,2,4,4,1,0,11,naisoboemängija; klassikatähed; inglissarv; ingeli; oboe
4,1,4,2,1,4,4,1,0,11,naisoboemängija; klassikatähed; inglissarv; ingeli; oboe
3,1,5,4,2,4,4,1,0,11,naisoboemängija; klassikatähed; inglissarv; ingeli; oboe
1,1,5,3,2,3,3,2,0,11,naisoboemängija; inglissarv; ingeli; klassikatähed; oboe
2,1,4,3,2,1,4,1,0,11,naisoboemängija; inglissarv; ingeli; klassikatähed; oboe
