EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
4,3,5,1,2,0,4,0,0,11,noor; töö; doktor; emil; jooksma; tennis; laur
4,3,5,1,2,0,4,0,0,11,noor; töö; doktor; emil; jooksma; tennis; laur
4,3,5,1,2,0,4,0,0,11,noor; töö; doktor; emil; jooksma; tennis; laur
4,3,5,1,2,0,4,0,0,11,noor; töö; doktor; emil; jooksma; tennis; laur
4,3,5,1,2,0,4,0,0,11,noor; töö; doktor; emil; jooksma; tennis; laur
4,3,6,1,2,0,4,0,0,11,noor; töö; doktor; emil; jooksma; tennis; laur
3,3,5,2,2,1,4,0,0,11,noor; emil; doktor; töö; jooksma; tennis; laur
4,3,3,0,3,1,4,0,0,11,noor; töö; doktor; emil; jooksma; tennis; laur
3,2,3,1,3,1,4,0,0,11,noor; töö; doktor; emil; jooksma; tennis; laur
3,2,4,1,3,1,5,3,0,11,noor; töö; doktor; emil; jooksma; tennis; laur
3,2,5,2,2,3,5,3,0,11,noor; töö; doktor; emil; jooksma; tennis; laur
