EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
8,5,5,2,4,4,5,6,0,13,luuletaja; autor; reisimine; reaalsusest; keskpärane; kesk-aasia; jevgeni; tõlge; diktatuur
8,5,5,2,4,4,5,6,0,13,luuletaja; autor; reisimine; reaalsusest; keskpärane; kesk-aasia; jevgeni; tõlge; diktatuur
8,5,5,2,4,4,5,6,0,13,luuletaja; autor; reisimine; reaalsusest; keskpärane; kesk-aasia; jevgeni; tõlge; diktatuur
8,5,5,2,4,4,5,6,0,13,luuletaja; autor; reisimine; reaalsusest; keskpärane; kesk-aasia; jevgeni; tõlge; diktatuur
8,5,5,2,4,4,5,6,0,13,luuletaja; autor; reisimine; reaalsusest; keskpärane; kesk-aasia; jevgeni; tõlge; diktatuur
8,5,6,2,4,4,5,6,0,13,luuletaja; autor; reisimine; reaalsusest; keskpärane; kesk-aasia; jevgeni; tõlge; diktatuur
8,5,6,2,4,4,5,6,0,13,luuletaja; autor; reisimine; reaalsusest; keskpärane; kesk-aasia; jevgeni; tõlge; diktatuur
8,4,6,2,4,4,5,6,0,13,luuletaja; autor; reisimine; reaalsusest; keskpärane; kesk-aasia; jevgeni; tõlge; diktatuur
8,5,6,4,3,4,4,6,0,13,luuletaja; autor; reisimine; reaalsusest; keskpärane; kesk-aasia; jevgeni; tõlge; diktatuur
7,6,6,3,4,6,4,6,0,13,luuletaja; autor; reisimine; reaalsusest; keskpärane; kesk-aasia; jevgeni; tõlge; diktatuur
6,5,6,3,3,7,4,7,0,13,luuletaja; autor; reisimine; reaalsusest; keskpärane; kesk-aasia; jevgeni; tõlge; diktatuur
