EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
6,0,0,2,1,0,1,4,0,11,rahvatants; jüri; tallinn; tartu; kirjandus; juured; arrak
6,0,0,2,1,0,1,4,0,11,rahvatants; jüri; tallinn; tartu; kirjandus; juured; arrak
6,0,0,2,1,0,1,4,0,11,rahvatants; jüri; tallinn; tartu; kirjandus; juured; arrak
6,0,0,2,1,0,1,4,0,11,rahvatants; jüri; tallinn; tartu; kirjandus; juured; arrak
6,0,0,2,1,0,1,4,0,11,rahvatants; jüri; tallinn; tartu; kirjandus; juured; arrak
6,0,0,2,1,0,1,4,0,11,rahvatants; jüri; tallinn; tartu; kirjandus; juured; arrak
4,0,1,2,1,0,1,4,0,11,rahvatants; jüri; tallinn; tartu; kirjandus; juured; arrak
4,0,1,3,1,0,3,4,0,11,rahvatants; jüri; tallinn; tartu; kirjandus; juured; arrak
2,2,1,5,1,0,1,4,0,11,rahvatants; jüri; tallinn; tartu; kirjandus; juured; arrak
3,1,1,5,1,1,3,4,0,11,rahvatants; jüri; tallinn; tartu; kirjandus; juured; arrak
2,1,1,6,1,1,3,5,0,11,rahvatants; jüri; tallinn; tartu; kirjandus; juured; arrak
