EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
6,5,8,6,4,7,8,7,0,14,kommentaar; cbs; port; uudised; meediatarbimise; katsepolügoon; reklaamitulu; kristjan; internet; tehnoloogia; dvd-plaadil
6,5,8,6,4,7,8,7,0,14,kommentaar; cbs; port; uudised; meediatarbimise; katsepolügoon; reklaamitulu; kristjan; internet; tehnoloogia; dvd-plaadil
6,5,8,6,4,7,8,7,0,14,kommentaar; cbs; port; uudised; meediatarbimise; katsepolügoon; reklaamitulu; kristjan; internet; tehnoloogia; dvd-plaadil
6,5,8,6,4,7,8,7,0,14,kommentaar; cbs; port; uudised; meediatarbimise; katsepolügoon; reklaamitulu; kristjan; internet; tehnoloogia; dvd-plaadil
6,5,8,6,4,7,8,7,0,14,kommentaar; cbs; port; uudised; meediatarbimise; katsepolügoon; reklaamitulu; kristjan; internet; tehnoloogia; dvd-plaadil
6,5,8,6,4,7,8,7,0,14,kommentaar; cbs; port; uudised; meediatarbimise; katsepolügoon; reklaamitulu; kristjan; internet; tehnoloogia; dvd-plaadil
8,5,8,7,4,7,8,7,0,14,kommentaar; port; meediatarbimise; internet; dvd-plaadil; cbs; uudised; katsepolügoon; kristjan; tehnoloogia; reklaamitulu
9,5,8,8,4,7,8,7,0,14,kommentaar; port; meediatarbimise; internet; dvd-plaadil; cbs; uudised; katsepolügoon; kristjan; tehnoloogia; reklaamitulu
10,5,8,8,4,6,9,7,0,14,kommentaar; port; meediatarbimise; internet; dvd-plaadil; cbs; uudised; katsepolügoon; kristjan; tehnoloogia; reklaamitulu
9,5,7,8,4,7,10,7,0,14,kommentaar; port; meediatarbimise; internet; dvd-plaadil; cbs; uudised; katsepolügoon; kristjan; tehnoloogia; reklaamitulu
8,6,8,8,4,6,10,7,0,14,kommentaar; port; meediatarbimise; internet; dvd-plaadil; cbs; uudised; katsepolügoon; kristjan; tehnoloogia; reklaamitulu
