EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
3,4,7,5,4,1,6,6,0,14,lasteporno; vanglakaristus; kodaniku; pedofiilia; port; pakkuja; kristjan; internetiteenuse; tehnoloogia
3,4,7,5,4,1,6,6,0,14,lasteporno; vanglakaristus; kodaniku; pedofiilia; port; pakkuja; kristjan; internetiteenuse; tehnoloogia
3,4,7,5,4,1,6,6,0,14,lasteporno; vanglakaristus; kodaniku; pedofiilia; port; pakkuja; kristjan; internetiteenuse; tehnoloogia
3,4,7,5,4,1,6,6,0,14,lasteporno; vanglakaristus; kodaniku; pedofiilia; port; pakkuja; kristjan; internetiteenuse; tehnoloogia
3,4,7,5,4,1,6,6,0,14,lasteporno; vanglakaristus; kodaniku; pedofiilia; port; pakkuja; kristjan; internetiteenuse; tehnoloogia
5,4,7,5,4,1,6,6,0,14,lasteporno; vanglakaristus; kodaniku; pedofiilia; port; pakkuja; kristjan; internetiteenuse; tehnoloogia
6,4,7,5,4,1,7,6,0,14,lasteporno; vanglakaristus; kodaniku; pedofiilia; port; pakkuja; kristjan; internetiteenuse; tehnoloogia
7,4,7,5,4,2,7,6,0,14,lasteporno; vanglakaristus; pedofiilia; kodaniku; port; pakkuja; kristjan; internetiteenuse; tehnoloogia
6,4,7,3,4,2,8,6,0,14,lasteporno; vanglakaristus; pedofiilia; kodaniku; port; pakkuja; kristjan; internetiteenuse; tehnoloogia
6,4,7,3,4,2,8,6,0,14,lasteporno; vanglakaristus; pedofiilia; kodaniku; port; pakkuja; kristjan; internetiteenuse; tehnoloogia
6,4,8,3,5,2,9,6,0,14,lasteporno; vanglakaristus; pedofiilia; kodaniku; port; pakkuja; kristjan; internetiteenuse; tehnoloogia
