EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
0,0,2,2,0,2,2,1,1,10,ameerika; kuulaja; altar; kanada
0,0,2,2,0,2,2,1,1,10,ameerika; kuulaja; altar; kanada
0,0,2,2,0,2,2,1,1,10,ameerika; kuulaja; altar; kanada
0,0,2,2,0,2,2,1,1,10,ameerika; kuulaja; altar; kanada
0,0,2,2,0,2,2,1,1,10,ameerika; kuulaja; altar; kanada
0,0,2,2,0,2,2,1,1,10,ameerika; kuulaja; altar; kanada
0,0,2,2,0,2,2,1,1,10,ameerika; kuulaja; altar; kanada
0,0,2,2,0,2,2,1,1,10,ameerika; kuulaja; altar; kanada
0,0,2,2,0,2,2,1,1,10,ameerika; kuulaja; altar; kanada
0,0,2,2,0,2,2,1,1,10,ameerika; kuulaja; altar; kanada
0,0,2,2,0,2,2,1,1,10,ameerika; kuulaja; altar; kanada
