EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
3,1,2,0,2,1,0,2,1,11,õppimine; peegel; nägemus; enesetunnetus; täiskasvanu; ants; tooming
3,1,2,0,2,1,0,2,1,11,õppimine; peegel; nägemus; enesetunnetus; täiskasvanu; ants; tooming
3,1,2,0,2,1,0,2,1,11,õppimine; peegel; nägemus; enesetunnetus; täiskasvanu; ants; tooming
3,1,2,0,2,1,0,2,1,11,õppimine; peegel; nägemus; enesetunnetus; täiskasvanu; ants; tooming
3,1,2,0,2,1,0,2,1,11,õppimine; peegel; nägemus; enesetunnetus; täiskasvanu; ants; tooming
3,1,2,0,2,1,0,2,1,11,õppimine; peegel; nägemus; enesetunnetus; täiskasvanu; ants; tooming
3,1,2,0,2,1,0,2,1,11,õppimine; peegel; nägemus; enesetunnetus; täiskasvanu; ants; tooming
3,1,2,0,2,1,0,2,1,11,õppimine; peegel; nägemus; enesetunnetus; täiskasvanu; ants; tooming
3,1,2,0,2,1,0,2,1,11,õppimine; peegel; nägemus; enesetunnetus; täiskasvanu; ants; tooming
3,1,2,0,2,1,0,2,1,11,õppimine; peegel; nägemus; enesetunnetus; täiskasvanu; ants; tooming
3,1,2,0,2,1,0,2,1,11,õppimine; peegel; nägemus; enesetunnetus; täiskasvanu; ants; tooming
