EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
0,2,1,0,0,1,0,1,4,11,nurk; väärtus; ohtlik; seadus
0,2,1,0,0,1,0,1,4,11,nurk; väärtus; ohtlik; seadus
0,2,1,0,0,1,0,1,4,11,nurk; väärtus; ohtlik; seadus
0,2,1,0,0,1,0,1,4,11,nurk; väärtus; ohtlik; seadus
0,2,1,0,0,1,0,1,4,11,nurk; väärtus; ohtlik; seadus
0,2,1,0,0,1,0,1,4,11,nurk; väärtus; ohtlik; seadus
0,2,1,0,0,1,0,1,4,11,nurk; väärtus; ohtlik; seadus
0,2,1,0,0,1,0,1,4,11,nurk; väärtus; ohtlik; seadus
0,2,1,0,0,1,0,1,4,11,nurk; väärtus; ohtlik; seadus
0,2,1,0,0,1,0,1,4,11,nurk; väärtus; ohtlik; seadus
0,2,1,0,0,1,0,1,4,11,nurk; väärtus; ohtlik; seadus
