EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
5,3,5,2,1,1,3,2,2,10,vaev; kodu; valu; savi; hirm; kevadine; muld; hing
5,3,5,2,1,1,3,2,2,10,vaev; kodu; valu; savi; hirm; kevadine; muld; hing
5,3,5,2,1,1,3,2,2,10,vaev; kodu; valu; savi; hirm; kevadine; muld; hing
5,3,5,2,1,1,3,2,2,10,vaev; kodu; valu; savi; hirm; kevadine; muld; hing
5,3,5,2,1,1,3,2,2,10,vaev; kodu; valu; savi; hirm; kevadine; muld; hing
5,3,5,2,1,1,3,2,2,10,vaev; kodu; valu; savi; hirm; kevadine; muld; hing
5,3,5,2,1,1,3,2,2,10,vaev; kodu; valu; savi; hirm; kevadine; muld; hing
5,3,5,2,1,1,3,2,2,10,vaev; kodu; valu; savi; hirm; kevadine; muld; hing
5,3,5,2,1,1,3,2,2,10,vaev; kodu; valu; savi; hirm; kevadine; muld; hing
5,3,5,2,1,1,3,2,2,10,vaev; kodu; valu; savi; hirm; kevadine; muld; hing
5,3,5,2,1,1,3,2,2,10,vaev; kodu; valu; savi; hirm; kevadine; muld; hing
