EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
0,3,3,2,0,2,2,2,3,10,vabadus; varandus; õigus; kolhoos; aktsia; talu
0,3,3,2,0,2,2,2,3,10,vabadus; varandus; õigus; kolhoos; aktsia; talu
0,3,3,2,0,2,2,2,3,10,vabadus; varandus; õigus; kolhoos; aktsia; talu
0,3,3,2,0,2,2,2,3,10,vabadus; varandus; õigus; kolhoos; aktsia; talu
0,3,3,2,0,2,2,2,3,10,vabadus; varandus; õigus; kolhoos; aktsia; talu
0,3,3,2,0,2,2,2,3,10,vabadus; varandus; õigus; kolhoos; aktsia; talu
0,3,3,2,0,2,2,2,3,10,vabadus; varandus; õigus; kolhoos; aktsia; talu
0,3,3,2,0,2,2,2,3,10,vabadus; varandus; õigus; kolhoos; aktsia; talu
0,3,3,2,0,2,2,2,3,10,vabadus; varandus; õigus; kolhoos; aktsia; talu
0,3,3,2,0,2,2,2,3,10,vabadus; varandus; õigus; kolhoos; aktsia; talu
0,3,3,2,0,2,2,2,3,10,vabadus; varandus; õigus; kolhoos; aktsia; talu
