EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
0,1,5,1,1,2,1,2,3,13,aeg; tele; raadiojaam; uudis; internet; tehnoloogia
0,1,5,1,1,2,1,2,3,13,aeg; tele; raadiojaam; uudis; internet; tehnoloogia
0,1,5,1,1,2,1,2,3,13,aeg; tele; raadiojaam; uudis; internet; tehnoloogia
0,1,5,1,1,2,1,2,3,13,aeg; tele; raadiojaam; uudis; internet; tehnoloogia
0,1,5,1,1,2,1,2,3,13,aeg; tele; raadiojaam; uudis; internet; tehnoloogia
0,1,5,1,1,2,1,2,3,13,aeg; tele; raadiojaam; uudis; internet; tehnoloogia
0,1,5,1,1,2,1,2,3,13,aeg; tele; raadiojaam; uudis; internet; tehnoloogia
0,1,5,1,1,2,1,3,3,13,aeg; tele; raadiojaam; uudis; internet; tehnoloogia
0,1,5,0,1,2,1,3,3,13,aeg; tele; raadiojaam; uudis; internet; tehnoloogia
0,1,5,2,1,2,1,3,3,13,aeg; tele; raadiojaam; uudis; internet; tehnoloogia
0,1,3,2,1,2,1,2,3,13,uudis; aeg; internet; tele; raadiojaam; tehnoloogia
