EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
3,1,1,4,2,0,0,2,0,15,piret; lasmann; peeter; kriivan; rõõm; põlendik; kadri; meesnäitleja; enesekindlus
3,1,1,4,2,0,0,2,0,15,piret; lasmann; peeter; kriivan; rõõm; põlendik; kadri; meesnäitleja; enesekindlus
3,1,1,4,2,0,0,2,0,15,piret; lasmann; peeter; kriivan; rõõm; põlendik; kadri; meesnäitleja; enesekindlus
3,1,1,4,2,0,0,2,1,15,piret; lasmann; peeter; kriivan; rõõm; põlendik; kadri; meesnäitleja; enesekindlus
3,1,1,4,2,0,0,2,1,15,piret; lasmann; peeter; kriivan; rõõm; põlendik; kadri; meesnäitleja; enesekindlus
3,1,1,4,2,0,0,2,1,15,piret; lasmann; peeter; kriivan; rõõm; põlendik; kadri; meesnäitleja; enesekindlus
3,1,1,4,2,0,0,2,1,15,piret; lasmann; peeter; kriivan; rõõm; põlendik; kadri; meesnäitleja; enesekindlus
3,1,1,4,2,0,0,2,1,15,piret; lasmann; peeter; kriivan; rõõm; põlendik; kadri; meesnäitleja; enesekindlus
3,1,1,4,2,0,0,2,1,15,piret; lasmann; peeter; kriivan; rõõm; põlendik; kadri; meesnäitleja; enesekindlus
3,1,1,4,2,0,0,2,1,15,piret; lasmann; peeter; kriivan; rõõm; põlendik; kadri; meesnäitleja; enesekindlus
3,1,1,4,2,0,0,2,1,15,piret; lasmann; peeter; kriivan; rõõm; põlendik; kadri; meesnäitleja; enesekindlus
