EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
4,1,2,2,1,4,5,2,0,11,olümpia; barcelona; maailmameistrivõistlus; kümnevõistleja; muusika; mercury; andres; klassikaraadio; uunikum
4,1,2,2,1,4,5,2,0,11,olümpia; barcelona; maailmameistrivõistlus; kümnevõistleja; muusika; mercury; andres; klassikaraadio; uunikum
4,1,2,2,1,4,5,2,0,11,olümpia; barcelona; maailmameistrivõistlus; kümnevõistleja; muusika; mercury; andres; klassikaraadio; uunikum
4,1,2,2,1,4,5,2,0,11,olümpia; barcelona; maailmameistrivõistlus; kümnevõistleja; muusika; mercury; andres; klassikaraadio; uunikum
4,1,2,2,1,4,5,2,0,11,olümpia; barcelona; maailmameistrivõistlus; kümnevõistleja; muusika; mercury; andres; klassikaraadio; uunikum
4,1,2,2,1,4,5,2,0,11,olümpia; barcelona; maailmameistrivõistlus; kümnevõistleja; muusika; mercury; andres; klassikaraadio; uunikum
4,1,2,2,1,4,5,2,0,11,olümpia; barcelona; maailmameistrivõistlus; kümnevõistleja; muusika; mercury; andres; klassikaraadio; uunikum
4,1,2,2,1,4,5,2,0,11,olümpia; barcelona; maailmameistrivõistlus; kümnevõistleja; muusika; mercury; andres; klassikaraadio; uunikum
4,1,2,2,1,4,5,2,0,11,olümpia; barcelona; maailmameistrivõistlus; kümnevõistleja; muusika; mercury; andres; klassikaraadio; uunikum
4,1,2,2,1,4,5,2,0,11,olümpia; barcelona; maailmameistrivõistlus; kümnevõistleja; muusika; mercury; andres; klassikaraadio; uunikum
4,1,2,2,1,4,5,2,0,11,olümpia; barcelona; maailmameistrivõistlus; kümnevõistleja; muusika; mercury; andres; klassikaraadio; uunikum
