EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
3,4,2,4,3,4,5,5,4,11,muuseum; hääl; nukuteater; tolstoi; ferdinand; buratino; suusad; aleksei
3,4,2,4,3,4,5,5,4,11,muuseum; hääl; nukuteater; tolstoi; ferdinand; buratino; suusad; aleksei
3,4,2,4,3,4,5,5,4,11,muuseum; hääl; nukuteater; tolstoi; ferdinand; buratino; suusad; aleksei
3,4,2,4,3,4,5,5,4,11,muuseum; hääl; nukuteater; tolstoi; ferdinand; buratino; suusad; aleksei
3,4,2,4,3,4,5,5,4,11,muuseum; hääl; nukuteater; tolstoi; ferdinand; buratino; suusad; aleksei
3,4,3,4,3,4,5,5,4,11,muuseum; hääl; nukuteater; tolstoi; ferdinand; buratino; suusad; aleksei
3,5,3,6,3,4,5,5,4,11,muuseum; hääl; nukuteater; tolstoi; ferdinand; buratino; suusad; aleksei
4,4,4,3,3,3,4,5,4,11,muuseum; hääl; nukuteater; tolstoi; ferdinand; buratino; suusad; aleksei
3,4,3,2,3,4,5,6,4,11,muuseum; hääl; nukuteater; tolstoi; ferdinand; buratino; suusad; aleksei
2,5,4,3,3,6,5,6,4,11,muuseum; hääl; nukuteater; tolstoi; suusad; buratino; ferdinand; aleksei
2,6,4,3,3,6,5,5,4,11,muuseum; hääl; nukuteater; tolstoi; suusad; buratino; ferdinand; aleksei
