EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
6,5,7,5,3,2,2,3,7,12,kristjan; lasteporno; john; port; lamar; mccain; tarkus; arhiveerima; jälitamiskohustus
6,5,7,5,3,2,2,3,8,12,kristjan; lasteporno; john; port; lamar; mccain; tarkus; arhiveerima; jälitamiskohustus
6,5,7,5,3,2,2,3,8,12,kristjan; lasteporno; john; port; lamar; mccain; tarkus; arhiveerima; jälitamiskohustus
6,5,7,5,3,2,2,3,8,12,kristjan; lasteporno; john; port; lamar; mccain; tarkus; arhiveerima; jälitamiskohustus
6,5,7,5,3,2,2,3,8,12,kristjan; lasteporno; john; port; lamar; mccain; tarkus; arhiveerima; jälitamiskohustus
6,5,7,5,3,2,2,3,8,12,kristjan; lasteporno; john; port; lamar; mccain; tarkus; arhiveerima; jälitamiskohustus
8,5,7,5,3,2,2,3,8,12,kristjan; lasteporno; port; john; lamar; mccain; tarkus; arhiveerima; jälitamiskohustus
8,5,8,5,3,2,2,4,8,12,kristjan; lasteporno; port; john; lamar; mccain; tarkus; arhiveerima; jälitamiskohustus
8,5,9,8,3,2,2,4,8,12,kristjan; lasteporno; port; john; lamar; mccain; tarkus; arhiveerima; jälitamiskohustus
7,5,8,6,3,1,2,4,8,12,kristjan; lasteporno; port; john; lamar; mccain; tarkus; arhiveerima; jälitamiskohustus
7,5,9,6,3,1,3,4,8,12,kristjan; lasteporno; port; john; lamar; mccain; tarkus; arhiveerima; jälitamiskohustus
