EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
5,3,4,4,3,4,5,4,5,12,hämarik; faehlmann; robert; päike; friedrich; koit
5,3,4,4,3,4,5,4,5,12,hämarik; faehlmann; robert; päike; friedrich; koit
5,3,4,4,3,4,5,4,5,12,hämarik; faehlmann; robert; päike; friedrich; koit
5,3,4,4,3,4,5,4,5,12,hämarik; faehlmann; robert; päike; friedrich; koit
5,3,4,4,3,4,5,4,5,12,hämarik; faehlmann; robert; päike; friedrich; koit
6,3,4,4,3,4,5,4,5,12,hämarik; faehlmann; robert; päike; friedrich; koit
6,3,5,4,3,4,5,4,5,12,hämarik; faehlmann; robert; päike; friedrich; koit
6,3,5,4,3,3,6,4,5,12,hämarik; faehlmann; robert; päike; friedrich; koit
6,3,5,5,3,3,6,4,5,12,hämarik; faehlmann; robert; päike; friedrich; koit
6,4,5,4,3,5,6,4,5,12,hämarik; faehlmann; robert; päike; friedrich; koit
6,4,5,4,3,5,6,4,6,12,hämarik; faehlmann; robert; päike; friedrich; koit
