EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
0,2,2,1,1,1,1,3,4,11,reena; tehnika; muhu; kaitseliit
0,2,2,1,1,1,1,3,4,11,reena; tehnika; muhu; kaitseliit
0,2,2,1,1,1,1,3,4,11,reena; tehnika; muhu; kaitseliit
0,2,2,1,1,1,1,3,4,11,reena; tehnika; muhu; kaitseliit
0,2,2,1,1,1,1,3,4,11,reena; tehnika; muhu; kaitseliit
1,2,2,1,1,1,1,3,4,11,reena; tehnika; muhu; kaitseliit
1,2,3,1,1,1,1,3,4,11,tehnika; muhu; reena; kaitseliit
1,2,3,1,1,1,1,3,4,11,tehnika; muhu; reena; kaitseliit
3,2,2,4,1,1,1,3,4,11,reena; tehnika; muhu; kaitseliit
3,2,2,3,1,0,2,3,4,11,reena; tehnika; muhu; kaitseliit
2,2,2,3,1,1,2,3,4,11,tehnika; muhu; reena; kaitseliit
