EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
6,5,4,6,6,3,4,5,5,13,neitsi; püha; johannes; kolmas; paavst; issand; gregorius; jumal
6,5,4,6,6,3,4,5,6,13,neitsi; püha; johannes; kolmas; paavst; issand; gregorius; jumal
6,5,4,6,6,3,4,5,6,13,neitsi; püha; johannes; kolmas; paavst; issand; gregorius; jumal
6,5,4,6,6,3,4,5,6,13,neitsi; püha; johannes; kolmas; paavst; issand; gregorius; jumal
6,5,4,6,6,3,4,5,6,13,neitsi; püha; johannes; kolmas; paavst; issand; gregorius; jumal
6,5,4,6,6,3,4,5,6,13,neitsi; püha; johannes; kolmas; paavst; issand; gregorius; jumal
5,5,4,6,6,3,4,5,6,13,neitsi; püha; johannes; kolmas; paavst; issand; gregorius; jumal
5,5,4,6,6,3,4,5,6,13,neitsi; püha; johannes; kolmas; paavst; issand; gregorius; jumal
7,5,5,6,6,3,5,5,6,13,neitsi; püha; johannes; kolmas; paavst; issand; gregorius; jumal
6,5,4,6,6,4,5,5,6,13,neitsi; püha; johannes; kolmas; paavst; issand; gregorius; jumal
5,6,4,5,6,4,6,6,6,13,neitsi; püha; johannes; kolmas; paavst; issand; gregorius; jumal
