EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
3,3,3,4,5,3,2,2,1,12,facebook; kristjan; trahv; port; karistus; euroopa
3,3,3,4,5,3,2,2,1,12,facebook; kristjan; trahv; port; karistus; euroopa
3,3,3,4,5,3,2,2,1,12,facebook; kristjan; trahv; port; karistus; euroopa
3,3,3,4,5,3,2,2,1,12,facebook; kristjan; trahv; port; karistus; euroopa
3,3,3,4,5,3,2,2,1,12,facebook; kristjan; trahv; port; karistus; euroopa
3,3,3,4,5,3,2,2,1,12,facebook; kristjan; trahv; port; karistus; euroopa
3,5,3,4,5,3,2,4,1,12,facebook; kristjan; trahv; port; karistus; euroopa
3,5,3,4,5,2,1,4,1,12,facebook; kristjan; trahv; port; karistus; euroopa
2,4,3,4,5,3,1,3,1,12,facebook; kristjan; trahv; port; karistus; euroopa
3,4,3,3,5,4,3,3,1,12,facebook; kristjan; trahv; port; karistus; euroopa
6,4,5,4,5,3,3,3,3,12,facebook; kristjan; trahv; port; karistus; euroopa
