EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
4,4,3,4,2,3,3,3,4,11,eesti; hoolitsemine; kanakasvataja; austraalia; meeleliigutus; maastik; ludwig; asundus
4,4,3,4,2,3,3,3,4,11,eesti; hoolitsemine; kanakasvataja; austraalia; meeleliigutus; maastik; ludwig; asundus
4,4,3,4,2,3,3,3,4,11,eesti; hoolitsemine; kanakasvataja; austraalia; meeleliigutus; maastik; ludwig; asundus
4,4,3,4,2,3,3,3,4,11,eesti; hoolitsemine; kanakasvataja; austraalia; meeleliigutus; maastik; ludwig; asundus
5,4,3,4,2,3,3,3,4,11,eesti; hoolitsemine; kanakasvataja; austraalia; meeleliigutus; maastik; ludwig; asundus
5,4,3,4,2,3,4,3,4,11,eesti; hoolitsemine; kanakasvataja; austraalia; meeleliigutus; maastik; ludwig; asundus
5,4,4,5,2,3,3,3,4,11,eesti; hoolitsemine; maastik; austraalia; kanakasvataja; meeleliigutus; ludwig; asundus
7,4,5,5,1,4,2,3,4,11,eesti; hoolitsemine; maastik; meeleliigutus; austraalia; kanakasvataja; asundus; külaline
6,6,5,4,1,3,5,4,4,11,eesti; hoolitsemine; kanakasvataja; austraalia; meeleliigutus; maastik; asundus; külaline
5,3,4,3,1,3,4,3,4,11,eesti; hoolitsemine; kanakasvataja; austraalia; meeleliigutus; maastik; asundus; külaline
5,3,4,2,2,3,5,4,4,11,eesti; hoolitsemine; kanakasvataja; austraalia; meeleliigutus; maastik; asundus; külaline
