EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
9,7,6,3,4,7,7,8,6,15,autor; urmas; vadi; tõlge; vikerraadio; vene; reaalsusest; ülar; jevgeni; kompleks; inimlik; lauk
9,7,6,3,4,7,7,8,6,15,autor; urmas; vadi; tõlge; vikerraadio; vene; reaalsusest; ülar; jevgeni; kompleks; inimlik; lauk
9,7,6,3,4,7,7,8,6,15,autor; urmas; vadi; tõlge; vikerraadio; vene; reaalsusest; ülar; jevgeni; kompleks; inimlik; lauk
9,7,6,3,4,7,7,8,6,15,autor; urmas; vadi; tõlge; vikerraadio; vene; reaalsusest; ülar; jevgeni; kompleks; inimlik; lauk
9,7,6,3,4,7,7,8,6,15,autor; urmas; vadi; tõlge; vikerraadio; vene; reaalsusest; ülar; jevgeni; kompleks; inimlik; lauk
9,7,6,3,4,7,7,8,6,15,autor; urmas; vadi; tõlge; vikerraadio; vene; ülar; reaalsusest; jevgeni; kompleks; inimlik; lauk
10,7,6,3,4,7,7,8,6,15,autor; urmas; vadi; tõlge; vikerraadio; vene; reaalsusest; ülar; jevgeni; kompleks; inimlik; lauk
9,7,6,3,4,7,8,8,6,15,autor; urmas; vadi; tõlge; vikerraadio; vene; ülar; reaalsusest; jevgeni; kompleks; inimlik; lauk
9,8,6,3,4,6,6,8,6,15,autor; urmas; vadi; tõlge; vikerraadio; vene; reaalsusest; ülar; jevgeni; kompleks; inimlik; lauk
10,8,6,1,4,5,5,10,6,15,autor; urmas; vadi; tõlge; vikerraadio; vene; reaalsusest; ülar; jevgeni; kompleks; inimlik; lauk
9,8,7,2,4,5,6,10,6,15,autor; urmas; vadi; tõlge; vikerraadio; vene; reaalsusest; ülar; jevgeni; kompleks; inimlik; lauk
