EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
8,8,4,7,5,6,6,7,5,11,olümpia; barcelona; kümnevõistleja; muusika; mercury; andres; klassikaraadio; ooperidiiva; freddie
8,8,4,7,5,6,6,7,5,11,olümpia; barcelona; kümnevõistleja; muusika; mercury; andres; klassikaraadio; ooperidiiva; freddie
8,8,4,7,5,6,6,7,5,11,olümpia; barcelona; kümnevõistleja; muusika; mercury; andres; klassikaraadio; ooperidiiva; freddie
8,8,4,7,5,6,6,7,6,11,olümpia; barcelona; kümnevõistleja; muusika; mercury; andres; klassikaraadio; ooperidiiva; freddie
8,8,4,7,5,6,6,7,6,11,olümpia; barcelona; kümnevõistleja; muusika; mercury; andres; klassikaraadio; ooperidiiva; freddie
8,8,4,7,5,6,6,7,6,11,olümpia; barcelona; kümnevõistleja; muusika; mercury; andres; klassikaraadio; ooperidiiva; freddie
8,8,4,7,5,6,6,7,6,11,olümpia; barcelona; kümnevõistleja; muusika; mercury; andres; klassikaraadio; ooperidiiva; freddie
8,8,4,7,5,6,6,7,6,11,olümpia; barcelona; kümnevõistleja; muusika; mercury; andres; klassikaraadio; ooperidiiva; freddie
8,8,4,7,5,6,6,7,6,11,olümpia; barcelona; kümnevõistleja; muusika; mercury; andres; klassikaraadio; ooperidiiva; freddie
8,8,4,7,5,6,6,7,6,11,olümpia; barcelona; kümnevõistleja; muusika; mercury; andres; klassikaraadio; ooperidiiva; freddie
8,8,4,7,5,6,6,7,6,11,olümpia; barcelona; kümnevõistleja; muusika; mercury; andres; klassikaraadio; ooperidiiva; freddie
