EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
5,4,5,4,4,5,2,3,4,11,jõulud; aeg; jõulurõõmud; süsteem; vaba; tegutsemisaeg
5,4,5,4,4,5,2,3,4,11,jõulud; aeg; jõulurõõmud; süsteem; vaba; tegutsemisaeg
5,4,5,4,4,5,2,3,4,11,jõulud; aeg; jõulurõõmud; süsteem; vaba; tegutsemisaeg
5,4,5,4,4,5,2,3,4,11,jõulud; aeg; jõulurõõmud; süsteem; vaba; tegutsemisaeg
5,4,5,4,4,5,2,3,4,11,jõulud; aeg; jõulurõõmud; süsteem; vaba; tegutsemisaeg
5,4,5,4,4,5,2,3,4,11,jõulud; aeg; jõulurõõmud; süsteem; vaba; tegutsemisaeg
5,4,5,4,4,5,2,3,4,11,jõulud; aeg; jõulurõõmud; süsteem; vaba; tegutsemisaeg
5,4,5,4,4,5,2,3,4,11,jõulud; aeg; jõulurõõmud; süsteem; vaba; tegutsemisaeg
4,4,5,4,4,5,4,2,4,11,jõulud; aeg; süsteem; jõulurõõmud; vaba; tegutsemisaeg
5,4,5,3,4,5,5,2,3,11,jõulud; aeg; jõulurõõmud; süsteem; vaba; tegutsemisaeg
5,4,4,3,4,5,6,3,4,11,jõulud; aeg; jõulurõõmud; süsteem; vaba; tegutsemisaeg
