EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
6,4,6,5,2,3,4,4,4,10,jalgpall; ameerika; sõda; võistlus; võit; mees; sport; naine; meedia
6,4,6,5,2,3,4,4,4,10,jalgpall; ameerika; sõda; võistlus; võit; mees; sport; naine; meedia
6,4,6,5,2,3,4,4,4,10,jalgpall; ameerika; sõda; võistlus; võit; mees; sport; naine; meedia
6,4,6,5,2,3,4,4,4,10,jalgpall; ameerika; sõda; võistlus; võit; mees; sport; naine; meedia
6,4,6,5,2,3,4,4,4,10,jalgpall; ameerika; sõda; võistlus; võit; mees; sport; naine; meedia
5,3,6,5,2,3,4,5,4,10,jalgpall; ameerika; sõda; võistlus; võit; mees; sport; naine; meedia
7,3,8,5,2,3,4,5,4,10,jalgpall; ameerika; sõda; võistlus; võit; mees; sport; naine; meedia
5,3,5,3,3,4,5,6,4,10,jalgpall; ameerika; võistlus; sõda; võit; mees; sport; naine; meedia
5,5,6,3,3,4,6,6,4,10,jalgpall; ameerika; sõda; võistlus; võit; mees; sport; naine; meedia
4,3,7,3,2,6,7,5,4,10,jalgpall; ameerika; võistlus; sõda; võit; mees; sport; naine; meedia
3,3,8,2,3,6,6,5,5,10,jalgpall; ameerika; võistlus; sõda; võit; mees; sport; naine; meedia
