EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
4,4,4,4,4,1,1,2,5,11,ants; tooming; arvamus; täiskasvanu; enesetunnetus
4,4,4,4,4,1,1,2,5,11,ants; tooming; arvamus; täiskasvanu; enesetunnetus
4,4,4,4,4,1,1,2,5,11,ants; tooming; arvamus; täiskasvanu; enesetunnetus
4,4,4,4,4,1,1,2,5,11,ants; tooming; arvamus; täiskasvanu; enesetunnetus
4,4,4,4,4,1,1,2,5,11,ants; tooming; arvamus; täiskasvanu; enesetunnetus
4,4,4,4,4,1,1,2,5,11,ants; tooming; arvamus; täiskasvanu; enesetunnetus
4,4,4,4,4,1,1,2,5,11,ants; tooming; arvamus; täiskasvanu; enesetunnetus
4,4,4,4,4,1,1,2,5,11,ants; tooming; arvamus; täiskasvanu; enesetunnetus
4,4,4,4,4,1,1,2,5,11,ants; tooming; arvamus; täiskasvanu; enesetunnetus
4,4,4,4,4,1,1,2,5,11,ants; tooming; arvamus; täiskasvanu; enesetunnetus
4,4,4,4,4,1,1,2,5,11,ants; tooming; arvamus; täiskasvanu; enesetunnetus
