EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
4,5,5,3,1,4,4,4,3,10,ühendproov; saatja; traditsioon; repertuaar; laulupidu; lastekoor
4,5,5,3,1,4,4,4,3,10,ühendproov; saatja; traditsioon; repertuaar; laulupidu; lastekoor
4,5,5,3,1,4,4,4,3,10,ühendproov; saatja; traditsioon; repertuaar; laulupidu; lastekoor
4,5,5,3,1,4,4,4,4,10,ühendproov; saatja; traditsioon; repertuaar; laulupidu; lastekoor
4,5,5,3,1,4,4,4,4,10,ühendproov; saatja; traditsioon; repertuaar; laulupidu; lastekoor
4,5,5,3,1,4,4,4,4,10,ühendproov; saatja; traditsioon; repertuaar; laulupidu; lastekoor
4,5,5,3,1,4,4,4,4,10,ühendproov; saatja; traditsioon; repertuaar; laulupidu; lastekoor
4,5,6,3,1,4,4,4,4,10,ühendproov; saatja; traditsioon; repertuaar; laulupidu; lastekoor
4,5,6,4,1,4,4,4,4,10,ühendproov; saatja; traditsioon; repertuaar; laulupidu; lastekoor
4,5,6,4,1,4,4,4,4,10,ühendproov; saatja; traditsioon; repertuaar; laulupidu; lastekoor
4,5,6,4,1,4,4,4,4,10,ühendproov; saatja; traditsioon; repertuaar; laulupidu; lastekoor
