EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
4,4,3,3,3,6,5,6,7,14,herned; eva; katariina; koldits; redel; kadri; ema; poiss
4,4,3,3,3,6,5,6,7,14,herned; eva; katariina; koldits; redel; kadri; ema; poiss
4,4,3,3,3,6,5,6,7,14,herned; eva; katariina; koldits; redel; kadri; ema; poiss
4,4,3,3,3,6,5,6,7,14,herned; eva; katariina; koldits; redel; kadri; ema; poiss
4,4,3,3,3,6,5,6,7,14,herned; eva; katariina; koldits; redel; kadri; ema; poiss
5,4,4,3,3,6,5,6,7,14,herned; eva; katariina; koldits; redel; kadri; ema; poiss
5,4,4,3,3,7,6,6,7,14,herned; eva; katariina; koldits; redel; ema; kadri; poiss
5,4,4,4,3,5,6,7,7,14,herned; eva; katariina; koldits; redel; ema; kadri; poiss
5,3,3,5,3,5,6,6,7,14,herned; eva; katariina; koldits; redel; ema; kadri; poiss
6,3,4,7,5,6,6,6,5,14,herned; eva; katariina; koldits; redel; kadri; ema; poiss
5,6,5,7,5,5,6,6,6,14,herned; eva; katariina; koldits; redel; kadri; ema; poiss
