EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
6,4,1,4,2,6,5,5,3,12,uukkivi; kinni; tuisk; isa; torm; poeg; käsi; ivo
6,4,1,4,2,6,5,5,3,12,uukkivi; kinni; tuisk; isa; torm; poeg; käsi; ivo
6,4,1,4,2,6,5,5,3,12,uukkivi; kinni; tuisk; isa; torm; poeg; käsi; ivo
6,4,1,4,2,6,5,5,3,12,uukkivi; kinni; tuisk; isa; torm; poeg; käsi; ivo
6,4,1,4,2,6,5,5,2,12,uukkivi; kinni; tuisk; isa; torm; poeg; käsi; ivo
6,4,1,4,2,6,6,5,2,12,uukkivi; kinni; tuisk; isa; torm; poeg; käsi; ivo
5,4,0,4,2,5,6,5,3,12,uukkivi; kinni; tuisk; isa; torm; poeg; käsi; ivo
4,4,0,4,2,5,5,7,3,12,uukkivi; kinni; tuisk; isa; torm; poeg; käsi; ivo
2,3,1,3,5,6,3,7,3,12,uukkivi; kinni; tuisk; isa; torm; poeg; käsi; ivo
2,3,0,4,5,6,3,7,3,12,uukkivi; kinni; tuisk; isa; torm; poeg; käsi; ivo
2,3,0,4,5,5,4,7,2,12,uukkivi; kinni; tuisk; isa; torm; poeg; käsi; ivo
