EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
5,6,2,3,1,2,4,2,1,13,merike; käär; heinsoo; hiiu; lasteraamat; sõna; lili
5,6,2,3,1,2,4,2,1,13,merike; käär; heinsoo; hiiu; lasteraamat; sõna; lili
5,6,2,3,1,2,4,2,1,13,merike; käär; heinsoo; hiiu; lasteraamat; sõna; lili
5,6,2,3,1,2,4,2,1,13,merike; käär; heinsoo; hiiu; lasteraamat; sõna; lili
5,6,2,3,1,2,4,2,1,13,merike; käär; heinsoo; hiiu; lasteraamat; sõna; lili
4,6,2,3,1,2,4,2,1,13,merike; käär; heinsoo; hiiu; lasteraamat; sõna; lili
4,6,3,3,1,2,4,2,1,13,merike; käär; heinsoo; hiiu; lasteraamat; sõna; lili
5,6,3,3,1,3,4,5,1,13,merike; käär; heinsoo; hiiu; lasteraamat; sõna; lili
5,6,2,1,1,4,4,5,1,13,merike; käär; heinsoo; hiiu; lasteraamat; sõna; lili
4,3,2,1,1,4,3,5,1,13,merike; käär; heinsoo; hiiu; lasteraamat; sõna; lili
2,3,3,1,1,4,3,5,3,13,merike; käär; heinsoo; hiiu; lasteraamat; sõna; lili
