keyphrase;score
parandamine no moment;0.8187
otsustav kaksik new;0.8151
arutama usa new;0.8119
abstraktne sündmus objektiivselt;0.8091
usa new hampshire;0.8043
osutuma otsustav kaksik;0.8019
fakt graafik arve;0.7996
tooma probleem konteiner;0.7983
dessant meenutamine sündmus;0.7951
utria dessant meenutamine;0.7939
leppima usa president;0.7928
noor avatud homme;0.7916
teoreetiliselt uskuma kujunema;0.7916
öö sadama manner;0.7909
asi seadus alus;0.7904
saavutama hea koht;0.7904
aeg meedia fookus;0.79
sündmus otsustavus hetk;0.7895
tulemus osutuma otsustav;0.7889
rivaal hillary clinton;0.7888
nurk elav inimene;0.7886
eluasemeprobleem toime inimene;0.7883
asuma vabadus kindlasti;0.7879
tulemus elem noor;0.7877
president mahmoud abbas;0.7859
elem noor riik;0.7851
cnn antud intervjuu;0.785
hind äritegevus efektiivsus;0.7843
uus võimalus kaks;0.7839
veidi kauge abstraktne;0.7836
kuum andma raamat;0.7835
kogumine käitlemine uku;0.7833
siduma utria dessant;0.783
jagama tunnistama aasta;0.783
uhke vaatepilt asi;0.783
leev kuum andma;0.7828
takerduma serbia andma;0.7822
otsekõnelus võtmeküsimus näiteks;0.7819
võitma demokraat barack;0.7816
liit mure uus;0.7814
projekteerima sisustama laps;0.7808
normaalselt võib-olla paar;0.7807
ennegi asi eesti;0.7806
unt hea jaapan;0.7805
opositsioon pretensioon uurima;0.7803
mati unt hea;0.7803
toom küsima ministeerium;0.7803
taas algatama sisuline;0.7797
organisatsioon endiselt no;0.7789
hillary clinton vabariiklane;0.7785
laste-aed lasteaed noor;0.7781
seisma tasuma alahindama;0.7776
äkki ootamatult halvasti;0.7773
sattuma aeg meedia;0.7771
new hampshire algama;0.7767
kallis korter korter;0.7765
tallinn tartu tallinn;0.7764
hea aeg vaatama;0.7763
tahtma parandama kaotama;0.776
uus sundüürnik laine;0.776
uus jäätmeseadus hõlm;0.7751
tuba eraldi kunstituba;0.7747
jeruusalemma staatus palestiina;0.7747
liikumine saal eraldi;0.7745
pluss kraad homme;0.7744
no arvama nõue;0.7742
ametiaeg parandama suhe;0.7739
täna hetk probleemne;0.7738
demokraat barack obama;0.7737
pöörama tähelepanu probleem;0.7733
stuudio riina eentalu;0.7733
käima külg osa;0.7731
konteiner laos tellima;0.773
partei presidendikandidaat valimine;0.7729
miinus kaks miinus;0.7729
maa pind saamine;0.7728
hampshire aiova andma;0.7726
juhtima usa järgnema;0.7725
kuld varalipp relv;0.7723
organitsioon loomulikult info;0.7722
tegevjuht peeter tedre;0.7722
parim konjunktuuriinstituut direktor;0.7722
teatama toetama assotsiatsioonilepe;0.772
kindlasti kergemini käsi;0.7719
nimelt nähtav seed;0.7714
maksma kinni pind;0.7712
mahmoud abbas leppima;0.7708
rakendamine omakasupüüdmine mõistlik;0.7707
hinnang küsimus majandus;0.7707
näitaja näiteks skp;0.7706
jeruusalemma lähis iisrael;0.7704
president visiit taas;0.7703
insener aumärk meerima;0.7701
andma ratko mladić;0.7697
usa 71 koma;0.7696
pakendimass tarbija soovima;0.7695
ana anavedu sportlane;0.7692
konjunktuuriinstituut juhtivteadur leev;0.7692
palestiinlane president mahmoud;0.7689
auhind jagamine kolmas;0.7682
suhe venemaa ilm;0.768
pooldama serbia leping;0.7676
indrek tarand jutt;0.7675
avama püüdma natuke;0.7674
nii-öelda muuseum töö;0.7673
kell seitse lapsevanem;0.7671
jagama inimene skp;0.767
kuritegu haagi tribunal;0.7669
ambitsioon marssalikepu tasku;0.7668
vaatleja missioon teatama;0.7665
uku toom küsima;0.7662
küsima miia kitalt;0.7661
puhuma edel puhang;0.766
remont restaureerimine külg;0.7659
piir venemaa hulk;0.7658
hampshire algama hääletus;0.7651
lumi tuiskama saar;0.7647
tagastatud maja omanik;0.7644
selge jälg laidoner;0.7643
film eelolev öö;0.7643
ungari portugal tšehhi;0.7641
josing rõhutama parandama;0.7639
hai proovima uurima;0.7638
mitt romneyt uuesti;0.7636
noor riik 200;0.7631
juht film sattuma;0.7627
singapur hongkong luksemburg;0.7627
kolleeg veenma serbia;0.7626
12 14 meeter;0.7623
sõna serbia haagi;0.7621
minister loomulikult meel;0.7621
laidoner muuseum remont;0.762
lasteaed mõeldud 116;0.7619
barack obama peamine;0.7618
seis ligikaudu 4000;0.7608
boriss tuhh tartu;0.7608
järgnema singapur hongkong;0.7606
vabadussõda seotud asi;0.7605
lumepilv ida-eesti lääne-eesti;0.7603
protsent 74 3;0.7602
välismaa ülevaade kai;0.7601
kaua rääkima ida;0.7595
st kindral teenetemärk;0.7591
boris goldmann aasta;0.7591
üür 15 kroon;0.7589
linn raha tunduvalt;0.7587
alus liit 19;0.7587
10 saar rannik;0.7585
assotsiatsioonilepe sõlmimine serbia;0.7585
kohalik omavalitsus toetama;0.7579
pandud 300 erinev;0.7576
rahukõnelus suur eri;0.7576
patas pandud 300;0.7575
taaskasutus kohustus juht;0.757
teistmoodi vanamoodi no;0.7566
eesti 10 koht;0.7566
festival levitama leping;0.7566
laidoner st kindral;0.7561
vambola paavo kaua;0.756
juhtum lihtsalt lükkama;0.7559
eesti riik rahvusvaheline;0.7557
sõjamuuseum avama täna;0.7556
lehekülg täis fakt;0.7555
300 erinev informatsioon;0.7552
organisatsioon eesti hai;0.755
riik eesti 10;0.7549
johan laidoner st;0.7547
seis muuseum seis;0.7546
likvideerima 2013 -ks;0.7545
detsember lõpp seis;0.7541
116 laps jätkama;0.7536
esimene samm euroopa;0.7536
teadma 2004 üllatus;0.7535
koht 2001 2007;0.7531
maakondlik omavalitsus hinnang;0.7529
ühinema maja süda;0.7526
raha maha müüma;0.7525
osav 20 aasta;0.7523
20 aasta taas;0.7521
koostamine avama 2009;0.7519
pärnu antropoloogiafilm festival;0.7516
luksemburg taani luksemburg;0.7509
müüma maha õiglane;0.7507
viieteistaastane ajalugu auhind;0.7502
puhanguti 12 14;0.7493
teaduslik infrastruktuur euroopa;0.749
sloveenia välisminister ajakirjanik;0.7486
venemaa hulk vabadussõjamuuseum;0.7483
maja süda arhitektuurne;0.7474
aasta esimene 13;0.745
maja jääma maja;0.7439
aasta arv katastroofiliselt;0.7436
lisarühm looma maja;0.7406
tervishoid keskkond teaduslik;0.7396
linn haridusosakond juhataja;0.7388
hind raha kasutama;0.737
2006 aasta seis;0.7365
sõjaajaloomuuseum kindral laidoner;0.7328
aasta lõpp november;0.7287
aasta film filmiauhind;0.707
