keyphrase;score
õhutemperatuur tõusma;0.3984
õhutemperatuur homme;0.3356
toimuma kuu;0.3329
ootus korraldama;0.3296
võimalus täiendama;0.3274
nädalakommentaar käsitlema;0.3189
küsimus lahendama;0.3165
õhutemperatuur põhi;0.3126
soe kuus;0.3086
õhtu õhutemperatuur;0.3078
sekund õhutemperatuur;0.3056
paigutama tugevdama;0.3051
vihm õhutemperatuur;0.3035
tegelema tõsisem;0.3007
leidma nädalakommentaar;0.2987
Washington toimuma;0.2974
programm üritus;0.2961
tõsisem sotsiaaldemokraatlik;0.2958
kuulma pühapäevane;0.2929
tegemine suurem;0.2907
soojanev ilm;0.2875
sünnipäev rõhutamine;0.285
lugema uudisteportaal;0.2833
survestama samm;0.2827
no arvuti;0.2826
Ossinovski sotsiaaldemokraat;0.2822
kohtumine toimuma;0.2802
toimuma normaalne;0.2802
asi pluss;0.2797
üksikküsimus suur;0.2795
projekt programm;0.2795
süsteemselt organisatsioon;0.2764
kirjutama Twitter;0.2761
töötama õu;0.2759
küla asuma;0.2752
väiksem toimuma;0.2739
Washington meedia;0.2738
teatud üksikküsimus;0.2736
surve nõudmine;0.2722
kaheksas aprillisündmus;0.2706
kell kuus;0.2702
tervis edendama;0.27
lisama pidulikkus;0.2695
uudis kirjutama;0.269
koht tihedam;0.2685
tõdema Ossinovski;0.2682
arvama projekt;0.2682
kuu aeg;0.268
lähenema süsteemselt;0.2673
projekt toetama;0.2672
tõusma homne;0.2671
soome-ugri küla;0.2662
mõnus töötama;0.2654
sotsiaalne tervis;0.2644
toimuma samamoodi;0.264
tervislikult liikuma;0.264
ootus soome-ugri;0.2638
organisatsioon tasand;0.2635
ühesugune probleem;0.2633
soov tegelema;0.2628
tervis edendamine;0.2622
aspekt käsitlema;0.2622
õppima kool;0.2612
tugevnema saar;0.261
hoolikalt mõtlema;0.2605
kool tähendama;0.2603
valima soome-ugri;0.2588
foorum valima;0.2577
probleem peituma;0.2576
tervis edendus;0.2573
tähendama tegelema;0.2571
tervis sotsiaalne;0.2567
konverents käsitlema;0.2564
Washington vaatama;0.2563
ühiskond kõnetama;0.2555
jääma pealinn;0.2555
kuus Päevakada;0.2552
lisama olulisem;0.2543
suutma ühtne;0.2539
leidma võimalus;0.2532
eesmärk arvama;0.2531
toimuma kord;0.253
ühene seis;0.2516
õhutemperatuur eelolev;0.2514
tervis areng;0.2512
ilm rääkima;0.2512
soome-ugri kultuuripealinn;0.2503
südamekool laps;0.25
soome-ugri kultuurielu;0.2496
kõnetama tähendama;0.2495
olulisem asi;0.2493
seis hääletama;0.2493
kuulmine ;0.2491
lahendama pikemalt;0.2486
vastutus vastama;0.2485
probleem Washington;0.2482
põhiline probleem;0.2482
väga-väga suur;0.2479
käsitlema uneprobleem;0.2466
minimaalne ootus;0.2457
kuus parlamendivalimine;0.2455
vaja surve;0.2454
füüsiline tervis;0.2447
lõppev nädal;0.2447
küla kutsuma;0.2446
emotsionaalne tervis;0.2445
päev mõjusam;0.2442
meedia tähelepanu;0.2441
oluline soome-ugri;0.2441
pluss seitse;0.2441
nädal mööduma;0.2429
ohtlik olukord;0.2429
tervis ohtlik;0.2422
osalusprotsent tõusma;0.2421
koht soome-ugri;0.242
erakond arutlema;0.2418
toetama vabariiklik;0.2413
tervist edendav;0.2412
küla foorum;0.2406
tahtma õppima;0.2406
käima kohapeal;0.2401
aktiivsem muutuv;0.2397
laps arvama;0.2397
jätkama tervis;0.2395
arvuti riigikogu;0.2394
mõtlema NATO;0.2392
aeg pluss;0.239
asuma keskus;0.2389
asi õpilane;0.2388
jääma kool;0.2386
sotsiaaldemokraatlik erakond;0.2385
vastama väljakutse;0.2383
tervis edendav;0.2383
põhi tugevnema;0.2382
rääkima lähemalt;0.2377
tasapisi soojem;0.2372
jääma ida;0.2371
maa ilm;0.2367
vestlus ütlema;0.2366
tugev poliitiline;0.2366
õpilane tahtma;0.2366
rääkima füüsiline;0.2366
paremini aitama;0.236
tähistama kool;0.2358
soome-ugri rahvas;0.2358
mõnevõrra jääma;0.2357
vaatama pilt;0.2355
kool eesmärk;0.2354
Ossinovski usutlus;0.2348
aasta laienema;0.2345
leidma teade;0.2345
kõnetama tegelema;0.2345
õpilane aktiivsus;0.2342
vastus andma;0.2341
soome-ugri kultuurimaailm;0.2341
õpilane hindama;0.234
edendama sööma;0.2337
tugevdama NATO;0.2334
tegelema teatud;0.233
kokkukäimine koht;0.2323
nägu tegemine;0.232
kultuuripealinn programm;0.2316
tähendus sügavus;0.2309
poliitiline toetus;0.2305
teatama töö;0.2303
võimalik stiil;0.2303
kool õpilane;0.23
pluss kaks;0.2299
sööma tervislikult;0.2297
natuke nägu;0.2294
lähtuma ilmselt;0.2291
üritus viima;0.229
tervis konverents;0.229
seisma tugev;0.2288
vahetama survestama;0.2286
uneprobleem õpilane;0.2285
inimene tahtma;0.2283
koolitund siduma;0.2282
elujõuline rääkima;0.2282
käsitlema tervis;0.228
populaarsus tooma;0.2275
tervis vaatama;0.2264
aeg sport;0.2264
tahtma tegeletama;0.2259
mõnus soojanev;0.2254
homme päev;0.225
laps tooma;0.2247
programm büroo;0.2242
pluss kolm;0.2237
tähendama lähenema;0.2236
kool võrgustik;0.2234
tahtma elama;0.2234
kandidatuur toetama;0.2233
Päevakada võtma;0.2233
lubama vastama;0.2232
suur pilt;0.2228
nii-öelda programm;0.2227
päev 16;0.2225
tihti juhtuma;0.2218
väljakutse soome-ugri;0.2216
