EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
9,8,10,7,6,5,8,9,8,10,gladiaator; ameerika; sõda; võit; mees; sport; naine; meedia; jalgpall; võistlus
8,8,10,7,6,6,9,9,8,10,gladiaator; ameerika; sõda; võit; mees; sport; naine; meedia; jalgpall; võistlus
8,8,10,7,7,7,10,9,8,10,gladiaator; ameerika; sõda; võit; mees; sport; naine; meedia; jalgpall; võistlus
8,8,9,7,7,8,10,9,8,10,gladiaator; ameerika; sõda; võit; mees; sport; naine; meedia; jalgpall; võistlus
8,8,7,7,7,7,9,8,8,10,gladiaator; ameerika; sõda; võit; mees; sport; naine; meedia; jalgpall; võistlus
8,8,6,9,8,6,9,6,8,10,gladiaator; ameerika; sõda; võit; mees; sport; naine; meedia; jalgpall; võistlus
7,8,5,8,7,6,7,6,8,10,jalgpall; gladiaator; ameerika; võistlus; sõda; võit; mees; sport; naine; meedia
6,8,3,8,7,6,7,7,8,10,jalgpall; gladiaator; ameerika; võistlus; sõda; võit; mees; sport; naine; meedia
7,7,2,10,6,5,7,6,8,10,jalgpall; gladiaator; ameerika; võistlus; sõda; võit; mees; sport; naine; meedia
6,7,4,10,7,5,6,6,9,10,gladiaator; ameerika; sõda; võit; mees; sport; naine; meedia; jalgpall; võistlus
6,7,3,10,8,6,7,6,9,10,gladiaator; ameerika; sõda; võit; mees; sport; naine; meedia; jalgpall; võistlus
