EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
8,7,7,5,6,3,7,6,3,11,kohv; koolitus; naturaalne; turismitalu; kodukohvik; keemia; ilves; pidu; kristi
8,7,5,5,6,4,7,6,3,11,kohv; koolitus; naturaalne; turismitalu; kodukohvik; keemia; ilves; pidu; kristi
7,7,6,5,6,4,7,5,3,11,kohv; koolitus; naturaalne; turismitalu; kodukohvik; keemia; ilves; pidu; kristi
7,7,5,6,6,4,7,5,3,11,kohv; koolitus; naturaalne; turismitalu; kodukohvik; keemia; ilves; pidu; kristi
7,6,7,6,6,4,6,5,3,11,kohv; koolitus; naturaalne; turismitalu; kodukohvik; keemia; ilves; pidu; kristi
7,6,6,6,6,6,6,7,3,11,kohv; koolitus; naturaalne; turismitalu; kodukohvik; keemia; ilves; pidu; kristi
7,5,6,7,7,7,7,7,3,11,kohv; koolitus; naturaalne; turismitalu; kodukohvik; keemia; ilves; pidu; kristi
7,4,6,6,7,7,8,7,3,11,kohv; koolitus; naturaalne; turismitalu; kodukohvik; keemia; ilves; pidu; kristi
7,6,7,7,6,7,7,6,6,11,kohv; koolitus; naturaalne; turismitalu; kodukohvik; keemia; ilves; pidu; kristi
6,6,6,6,7,9,7,6,7,11,kohv; koolitus; naturaalne; turismitalu; kodukohvik; keemia; ilves; pidu; kristi
6,6,6,7,7,9,7,6,9,11,kohv; koolitus; naturaalne; turismitalu; kodukohvik; keemia; ilves; pidu; kristi
