EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
7,5,9,8,4,6,8,3,8,14,ema; katariina; eva; redel; koldits; katus; hinrik; poiss; kohvik; kadri; dieet; hernes; ronimine
7,5,8,7,5,7,8,4,8,14,ema; katariina; eva; redel; koldits; katus; hinrik; poiss; kohvik; kadri; dieet; hernes; ronimine
7,5,8,6,5,7,8,5,8,14,ema; katariina; eva; redel; koldits; katus; hinrik; poiss; kohvik; kadri; dieet; hernes; ronimine
7,5,9,5,5,8,10,6,8,14,ema; katariina; eva; redel; koldits; katus; hinrik; poiss; kohvik; kadri; dieet; hernes; ronimine
7,5,8,5,8,9,11,7,8,14,ema; katariina; eva; redel; koldits; katus; hinrik; poiss; kohvik; kadri; dieet; hernes; ronimine
6,7,9,5,8,9,11,9,8,14,ema; katariina; eva; redel; koldits; katus; hinrik; poiss; kohvik; kadri; dieet; hernes; ronimine
7,4,9,7,10,9,11,9,8,14,ema; katariina; eva; redel; koldits; katus; hinrik; poiss; kohvik; kadri; dieet; hernes; ronimine
5,5,10,5,10,9,13,7,9,14,ema; katariina; eva; redel; koldits; katus; hinrik; poiss; kohvik; kadri; dieet; hernes; ronimine
5,5,9,4,10,10,11,9,9,14,ema; katariina; eva; redel; koldits; katus; hinrik; poiss; kohvik; kadri; dieet; hernes; ronimine
5,6,9,5,9,9,12,9,11,14,ema; katariina; eva; redel; koldits; katus; hinrik; poiss; kohvik; kadri; dieet; hernes; ronimine
5,5,9,5,7,9,12,9,10,14,ema; katariina; eva; redel; koldits; katus; hinrik; poiss; kohvik; kadri; dieet; hernes; ronimine
