EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
8,8,8,8,8,8,8,8,8,12,kaevamine; aivar; kriska; narva; arheoloogiline; kultuur; kivi; keraamika
8,8,8,8,8,8,8,8,8,12,kaevamine; aivar; kriska; narva; arheoloogiline; kultuur; kivi; keraamika
8,8,8,8,8,8,8,8,8,12,kaevamine; aivar; kriska; narva; arheoloogiline; kultuur; kivi; keraamika
8,8,8,8,8,8,8,8,8,12,kaevamine; aivar; kriska; narva; arheoloogiline; kultuur; kivi; keraamika
8,8,8,8,8,8,8,8,8,12,kaevamine; aivar; kriska; narva; arheoloogiline; kultuur; kivi; keraamika
8,8,8,8,8,8,8,8,8,12,kaevamine; aivar; kriska; narva; arheoloogiline; kultuur; kivi; keraamika
8,8,8,8,8,8,8,8,8,12,kaevamine; aivar; kriska; narva; arheoloogiline; kultuur; kivi; keraamika
8,8,8,8,8,8,8,8,8,12,kaevamine; aivar; kriska; narva; arheoloogiline; kultuur; kivi; keraamika
8,8,8,8,8,8,8,8,8,12,kaevamine; aivar; kriska; narva; arheoloogiline; kultuur; kivi; keraamika
8,8,8,8,8,8,8,8,8,12,kaevamine; aivar; kriska; narva; arheoloogiline; kultuur; kivi; keraamika
8,8,8,8,8,8,8,8,8,12,kaevamine; aivar; kriska; narva; arheoloogiline; kultuur; kivi; keraamika
